how did i get back to my crib last night	how did i get back to my crib last night	1
we made it it 's friday	we made it it 's friday	1
i read the twilight books	i read the twilight books	1
friday my second favorite f word	friday my second favorite f word	1
women drivers rev my engine	women drivers rev my engine	1
i like cooties	i like cooties	1
hey i just met you this is crazy	hey i just met you this is crazy	1
at least this balloon is attracted to me	at least this balloon is attracted to me	1
i must destroy you with hugs and kisses	i must destroy you with hugs and kisses	1
stop looking for happiness in the same place you just lost it	stop looking for happiness in the same place you just lost it	1
i woke up like this	i woke up like this	1
oh you 're a model ? what 's your agency instagram ?	oh you 're a model ? what 's your agency instagram ?	1
i will eat just one i swear	i will eat just one i swear	1
i liked memes before they were on instagram	i liked memes before they were on instagram	1
if a redhead works at a bakery does that make him a gingerbread man ?	if a redhead works at a bakery does that make him a gingerbread man ?	1
if we could only turn back time ...	if we could only turn back time ...	1
what if i told you you can eat without posting it on instagram	what if i told you you can eat without posting it on instagram	1
thank you for making me feel less alone	thank you for making me feel less alone	1
crossfit ? i play real sports	crossfit ? i play real sports	1
a blind man walks into a bar ... and a chair ... and a table	a blind man walks into a bar ... and a chair ... and a table	1
at dawn we ride	at dawn we ride	1
you are enough	you are enough	1
this seat is taken	this seat is taken	1
i was n't lucky i deserved it	i was n't lucky i deserved it	1
i had fun once it was horrible	i had fun once it was horrible	1
girls be like ...	girls be like ...	1
stop stop i 'm gunna pee	stop stop i 'm gunna pee	1
hey good lookin can you tell me how to get to sesame street ?	hey good lookin can you tell me how to get to sesame street ?	1
puts selfie on top of tree because i 'm the star	puts selfie on top of tree because i 'm the star	1
is i in trouble ?	is i in trouble ?	1
it never rains during the weekend	it never rains during the weekend	1
there may be no excuse for laziness but i 'm still looking	there may be no excuse for laziness but i 'm still looking	1
oh hi there	oh hi there	1
you 're doing it wrong	you 're doing it wrong	1
smile	smile	1
fresher than you	fresher than you	1
a little birthday party they said it 'll be fun they said	a little birthday party they said it 'll be fun they said	1
do n't be like the rest of them darling	do n't be like the rest of them darling	1
girls be like no makeup	girls be like no makeup	1
posted pic on instagram and she did n't like it	posted pic on instagram and she did n't like it	1
we all start as strangers	we all start as strangers	1
funny_ig_caption	funny_ig_caption	1
i did n't choose the thug life the thug life chose me	i did n't choose the thug life the thug life chose me	1
i think it 's wrong that only one company makes the game monopoly	i think it 's wrong that only one company makes the game monopoly	1
my only real long term goal is to never end up on maury	my only real long term goal is to never end up on maury	1
girl ima have to call you back	girl ima have to call you back	1
have a seat we were expecting you	have a seat we were expecting you	1
if i die tomorrow will you remember me	if i die tomorrow will you remember me	1
what if the princess wants to be with bowser but mario keeps kidnapping her	what if the princess wants to be with bowser but mario keeps kidnapping her	1
invite me to play candy crush one more time	invite me to play candy crush one more time	1
how do i put this you 'll never sleep again	how do i put this you 'll never sleep again	1
i love sleep because it 's like a time machine to breakfast	i love sleep because it 's like a time machine to breakfast	1
