accounting	accounting	1
airlines/aviation	airlines/aviation	1
alternative dispute resolution	alternative dispute resolution	1
alternative medicine	alternative medicine	1
animation	animation	1
apparel & fashion	apparel & fashion	1
architecture & planning	architecture & planning	1
arts and crafts	arts and crafts	1
automotive	automotive	1
aviation & aerospace	aviation & aerospace	1
banking	banking	1
biotechnology	biotechnology	1
broadcast media	broadcast media	1
building materials	building materials	1
business supplies and equipment	business supplies and equipment	1
capital markets	capital markets	1
chemicals	chemicals	1
civic & social organization	civic & social organization	1
civil engineering	civil engineering	1
commercial real estate	commercial real estate	1
computer & network security	computer & network security	1
computer games	computer games	1
computer hardware	computer hardware	1
computer networking	computer networking	1
computer software	computer software	1
construction	construction	1
consumer electronics	consumer electronics	1
consumer goods	consumer goods	1
consumer services	consumer services	1
cosmetics	cosmetics	1
dairy	dairy	1
defense & space	defense & space	1
design	design	1
education management	education management	1
e-learning	e-learning	1
electrical/electronic manufacturing	electrical/electronic manufacturing	1
entertainment	entertainment	1
environmental services	environmental services	1
events services	events services	1
executive office	executive office	1
facilities services	facilities services	1
farming	farming	1
financial services	financial services	1
fine art	fine art	1
fishery	fishery	1
food & beverages	food & beverages	1
food production	food production	1
fund-raising	fund-raising	1
furniture	furniture	1
gambling & casinos	gambling & casinos	1
glass , ceramics & concrete	glass , ceramics & concrete	1
government administration	government administration	1
government relations	government relations	1
graphic design	graphic design	1
health , wellness and fitness	health , wellness and fitness	1
higher education	higher education	1
hospital & health care	hospital & health care	1
hospitality	hospitality	1
human resources	human resources	1
import and export	import and export	1
individual & family services	individual & family services	1
industrial automation	industrial automation	1
information services	information services	1
information technology and services	information technology and services	1
insurance	insurance	1
international affairs	international affairs	1
international trade and development	international trade and development	1
internet	internet	1
investment banking	investment banking	1
investment management	investment management	1
judiciary	judiciary	1
law enforcement	law enforcement	1
law practice	law practice	1
legal services	legal services	1
legislative office	legislative office	1
leisure , travel & tourism	leisure , travel & tourism	1
libraries	libraries	1
logistics and supply chain	logistics and supply chain	1
luxury goods & jewelry	luxury goods & jewelry	1
machinery	machinery	1
management consulting	management consulting	1
maritime	maritime	1
market research	market research	1
marketing and advertising	marketing and advertising	1
mechanical or industrial engineering	mechanical or industrial engineering	1
media production	media production	1
medical devices	medical devices	1
medical practice	medical practice	1
mental health care	mental health care	1
military	military	1
mining & metals	mining & metals	1
motion pictures and film	motion pictures and film	1
museums and institutions	museums and institutions	1
music	music	1
nanotechnology	nanotechnology	1
newspapers	newspapers	1
non-profit organization management	non-profit organization management	1
oil & energy	oil & energy	1
online media	online media	1
outsourcing/offshoring	outsourcing/offshoring	1
package/freight delivery	package/freight delivery	1
packaging and containers	packaging and containers	1
paper & forest products	paper & forest products	1
performing arts	performing arts	1
pharmaceuticals	pharmaceuticals	1
philanthropy	philanthropy	1
photography	photography	1
plastics	plastics	1
political organization	political organization	1
primary/secondary education	primary/secondary education	1
printing	printing	1
professional training & coaching	professional training & coaching	1
program development	program development	1
public policy	public policy	1
public relations and communications	public relations and communications	1
public safety	public safety	1
publishing	publishing	1
railroad manufacture	railroad manufacture	1
ranching	ranching	1
real estate	real estate	1
recreational facilities and services	recreational facilities and services	1
religious institutions	religious institutions	1
renewables & environment	renewables & environment	1
research	research	1
restaurants	restaurants	1
retail	retail	1
security and investigations	security and investigations	1
semiconductors	semiconductors	1
shipbuilding	shipbuilding	1
sporting goods	sporting goods	1
sports	sports	1
staffing and recruiting	staffing and recruiting	1
supermarkets	supermarkets	1
telecommunications	telecommunications	1
textiles	textiles	1
think tanks	think tanks	1
tobacco	tobacco	1
translation and localization	translation and localization	1
transportation/trucking/railroad	transportation/trucking/railroad	1
utilities	utilities	1
venture capital & private equity	venture capital & private equity	1
veterinary	veterinary	1
warehousing	warehousing	1
wholesale	wholesale	1
wine and spirits	wine and spirits	1
wireless	wireless	1
writing and editing	writing and editing	1
