2 nd	2 nd	1
6 th season premiere !	6 th season premiere !	1
7 th season premiere	7 th season premiere	1
aah . . !	aah . . !	1
abbreviated	abbreviated	1
a brief interview with stephen hawking	a brief interview with stephen hawking	1
abstract art	abstract art	1
abstract mad	abstract mad	1
academic	academic	1
academically	academically	1
academically correct	academically correct	1
academic apps	academic apps	1
academic auto-pilot	academic auto-pilot	1
academic contradictions	academic contradictions	1
academic deadlines	academic deadlines	1
academic guilt	academic guilt	1
academic homepage	academic homepage	1
academics do n't read	academics do n't read	1
academic spam	academic spam	1
academics , politics and identity	academics , politics and identity	1
academic travel	academic travel	1
acapulco	acapulco	1
accounting	accounting	1
accounts	accounts	1
a christmas song -lrb- phd	a christmas song -lrb- phd	1
acknowledgments	acknowledgments	1
acronyms	acronyms	1
act casual ...	act casual ...	1
action	action	1
actually happens	actually happens	1
actually , mom ...	actually , mom ...	1
addicted to the web ...	addicted to the web ...	1
addressing reviewer comments	addressing reviewer comments	1
admin assistants	admin assistants	1
admitting you have a problem	admitting you have a problem	1
adoption	adoption	1
advise	advise	1
advisor on vacation	advisor on vacation	1
a friend in need	a friend in need	1
a friendly reminder	a friendly reminder	1
after-lunch siesta haze	after-lunch siesta haze	1
a game of tenure	a game of tenure	1
a grad student revolution	a grad student revolution	1
a grammatical conundrum	a grammatical conundrum	1
a great time for phds in the job market	a great time for phds in the job market	1
a guide to academic neologisms	a guide to academic neologisms	1
a guide to academic regalia	a guide to academic regalia	1
a guide to academic relationships	a guide to academic relationships	1
air of unhelpfulness	air of unhelpfulness	1
alarm clock	alarm clock	1
aldus slackenerny	aldus slackenerny	1
a list , plan or outline of things to be done	a list , plan or outline of things to be done	1
all around the world	all around the world	1
all day	all day	1
allergy	allergy	1
allnighter	allnighter	1
all units converge	all units converge	1
amazing	amazing	1
a message from prof. smith	a message from prof. smith	1
amount of food you eat out of a bowl	amount of food you eat out of a bowl	1
amount of time spent writing your thesis	amount of time spent writing your thesis	1
analysis of value	analysis of value	1
anatomy of a group meeting presentation	anatomy of a group meeting presentation	1
anatomy of a winter break	anatomy of a winter break	1
and after	and after	1
anderson cancer center	anderson cancer center	1
and what do you want for xmas ?	and what do you want for xmas ?	1
a new method for reviews	a new method for reviews	1
an honest academic rejection letter	an honest academic rejection letter	1
an honest acknowledgment section	an honest acknowledgment section	1
an honest methods section	an honest methods section	1
animation !	animation !	1
an impending sense of doom	an impending sense of doom	1
anniversary	anniversary	1
announcement	announcement	1
annual grad/faculty	annual grad/faculty	1
a not-entirely-fictional	a not-entirely-fictional	1
another beautiful day ...	another beautiful day ...	1
another day	another day	1
another year in grad school	another year in grad school	1
anxiety vs. reading	anxiety vs. reading	1
anyone 's game	anyone 's game	1
anything is better than nothing	anything is better than nothing	1
apologies to shakespeare	apologies to shakespeare	1
appetite	appetite	1
appreciation	appreciation	1
aprenda espan ~ ol !	aprenda espan ~ ol !	1
a professor 's prayer	a professor 's prayer	1
apt	apt	1
a quiet evening at home	a quiet evening at home	1
arcane lab equipment	arcane lab equipment	1
a real-life dr. who	a real-life dr. who	1
a research valentine	a research valentine	1
are you busy ?	are you busy ?	1
are you ready ?	are you ready ?	1
art vs. research	art vs. research	1
a.s.a.p.	a.s.a.p.	1
asap !	asap !	1
a serious matter	a serious matter	1
as if	as if	1
ask ?	ask ?	1
a smithmas carol	a smithmas carol	1
a story in file	a story in file	1
a topical	a topical	1
atopy	atopy	1
a tranquilizer with graphs in it	a tranquilizer with graphs in it	1
attachment	attachment	1
a turing test made from real professor replies	a turing test made from real professor replies	1
a universal reference law	a universal reference law	1
author biographies	author biographies	1
author list	author list	1
author name	author name	1
autocorrect	autocorrect	1
automatic reply	automatic reply	1
average time spent writing one e-mail	average time spent writing one e-mail	1
a very serious	a very serious	1
a view of brexit from academia	a view of brexit from academia	1
awards	awards	1
away	away	1
away from my desk	away from my desk	1
awkward media	awkward media	1
awkward places	awkward places	1
axis of misunderestimation	axis of misunderestimation	1
babies	babies	1
backpacks	backpacks	1
bacteria power	bacteria power	1
bad	bad	1
badge pass	badge pass	1
bad idea	bad idea	1
bad news	bad news	1
barbarians !	barbarians !	1
barking up the wrong tree	barking up the wrong tree	1
basement	basement	1
basis	basis	1
be ?	be ?	1
beam	beam	1
beard	beard	1
behold the power of procrastination	behold the power of procrastination	1
believe	believe	1
believe it or do n't !	believe it or do n't !	1
be specific .	be specific .	1
best	best	1
best . birthday . ever .	best . birthday . ever .	1
best ideas	best ideas	1
better for	better for	1
beware the profzi	beware the profzi	1
beyond the scope of my research	beyond the scope of my research	1
bike rack	bike rack	1
bike rack , pt . 1	bike rack , pt . 1	1
birthday	birthday	1
birthday ...	birthday ...	1
bliss	bliss	1
blue hair	blue hair	1
bookstore	bookstore	1
book trailer	book trailer	1
boorish	boorish	1
borrowing	borrowing	1
brain	brain	1
brain-body	brain-body	1
brain on a	brain on a	1
break	break	1
bridge	bridge	1
bright and early	bright and early	1
brilliant	brilliant	1
broke	broke	1
broken heart	broken heart	1
buddies	buddies	1
budget	budget	1
budget sequestration explained	budget sequestration explained	1
budget surplus	budget surplus	1
built for guilt	built for guilt	1
burrosploitation	burrosploitation	1
business cards	business cards	1
butterfly effect	butterfly effect	1
buzzwords	buzzwords	1
by the way	by the way	1
cafeteria potential	cafeteria potential	1
call	call	1
call for	call for	1
calling mom	calling mom	1
campus	campus	1
campus architecture	campus architecture	1
campus day of	campus day of	1
campus map	campus map	1
card	card	1
carded	carded	1
care	care	1
career fair	career fair	1
career services	career services	1
career tip	career tip	1
carols	carols	1
carry on	carry on	1
cartoons of the cartoonist by his advisor ` s daughters	cartoons of the cartoonist by his advisor ` s daughters	1
categorical	categorical	1
caught napping ?	caught napping ?	1
c-c-coffee ...	c-c-coffee ...	1
cecilia in thesisland , pt .	cecilia in thesisland , pt .	1
cecilia 's adventures in	cecilia 's adventures in	1
cecilia ` s first animated feature !	cecilia ` s first animated feature !	1
cecilia 's mom	cecilia 's mom	1
celebratory dance	celebratory dance	1
chance	chance	1
cheapest	cheapest	1
checking	checking	1
checking e-mail	checking e-mail	1
check it	check it	1
chipping	chipping	1
chocolate	chocolate	1
chocolate buzz	chocolate buzz	1
choice	choice	1
choice of words	choice of words	1
choosing grad schools	choosing grad schools	1
chores	chores	1
christmas	christmas	1
christmas morning	christmas morning	1
christmas , part 1	christmas , part 1	1
christmas poll	christmas poll	1
christmas , prelude	christmas , prelude	1
christmas , the conclusion	christmas , the conclusion	1
christmas wish	christmas wish	1
cingradella	cingradella	1
circular logic	circular logic	1
circus	circus	1
c is for cookie break	c is for cookie break	1
clarity and	clarity and	1
class communication	class communication	1
clever	clever	1
close	close	1
close match	close match	1
closer to fine -lrb- academic version -rrb-	closer to fine -lrb- academic version -rrb-	1
clue	clue	1
clueless undergrad	clueless undergrad	1
coffee and the brain	coffee and the brain	1
coffee quality vs. writing	coffee quality vs. writing	1
coffee security	coffee security	1
cold	cold	1
collecting	collecting	1
collegiality decision chart	collegiality decision chart	1
comforting	comforting	1
comfort zone	comfort zone	1
comic-con !!	comic-con !!	1
comics	comics	1
coming back from	coming back from	1
coming back to grad school	coming back to grad school	1
command	command	1
commencement	commencement	1
common sleep	common sleep	1
complain	complain	1
complicated	complicated	1
conclusion	conclusion	1
conference	conference	1
conference call	conference call	1
conference decision chart	conference decision chart	1
conference in pisa ?	conference in pisa ?	1
conference paper	conference paper	1
confession	confession	1
confusing malaise	confusing malaise	1
* % @ # construction	* % @ # construction	1
contes de la route : equal	contes de la route : equal	1
convenience	convenience	1
conversation	conversation	1
cooing	cooing	1
cool	cool	1
core	core	1
cosmic inflation explained	cosmic inflation explained	1
cost-benefit	cost-benefit	1
creativity in engineering , paper submission guidelines	creativity in engineering , paper submission guidelines	1
credit	credit	1
crowdfunding science	crowdfunding science	1
crushing the dream	crushing the dream	1
cubicle	cubicle	1
current law	current law	1
curse you , television	curse you , television	1
cut and	cut and	1
cuteness	cuteness	1
cuts	cuts	1
cv	cv	1
cycle	cycle	1
daddy	daddy	1
dancing queen	dancing queen	1
dangerous	dangerous	1
dante 's inferno , academic edition	dante 's inferno , academic edition	1
dare to ask	dare to ask	1
data : by the numbers	data : by the numbers	1
dating at stanford	dating at stanford	1
dating odds	dating odds	1
day dreaming	day dreaming	1
daylight savings time	daylight savings time	1
day off	day off	1
deadline	deadline	1
dead week	dead week	1
debugging	debugging	1
deciding what to	deciding what to	1
deciding what to wear , pt .	deciding what to wear , pt .	1
deciphering academese	deciphering academese	1
decorum	decorum	1
defending	defending	1
defensive	defensive	1
define read	define read	1
definition of	definition of	1
definition of a geek	definition of a geek	1
demonstration	demonstration	1
denial	denial	1
department picture board	department picture board	1
department recruitment statistics	department recruitment statistics	1
depth	depth	1
dept. holiday party	dept. holiday party	1
desk entropy	desk entropy	1
desktop	desktop	1
desserts	desserts	1
detailed	detailed	1
details	details	1
detained ! part	detained ! part	1
determine	determine	1
diapers	diapers	1
did you get	did you get	1
did you leave it on ?	did you leave it on ?	1
did you mention my name ?	did you mention my name ?	1
did you take a look at those slides ?	did you take a look at those slides ?	1
dilemma	dilemma	1
disorders	disorders	1
disparate situation	disparate situation	1
distinction	distinction	1
distracted	distracted	1
disturbance	disturbance	1
disturbance in the force	disturbance in the force	1
division of labor	division of labor	1
doctor of photocopying	doctor of photocopying	1
dodging	dodging	1
does it bother you . . ?	does it bother you . . ?	1
doing the impossible	doing the impossible	1
doing vs writing	doing vs writing	1
do i own one ?	do i own one ?	1
dollar	dollar	1
done	done	1
do n`t forget the milk	do n`t forget the milk	1
do n't mention it	do n't mention it	1
do n't remind me	do n't remind me	1
do n't worry	do n't worry	1
dork barrel	dork barrel	1
double the	double the	1
double the monitor , double the fun	double the monitor , double the fun	1
downright pathetic	downright pathetic	1
downton labbey	downton labbey	1
do you have a minute ?	do you have a minute ?	1
draft	draft	1
draft approved !	draft approved !	1
drama !	drama !	1
drawing the	drawing the	1
dream on	dream on	1
dreference	dreference	1
dress codes	dress codes	1
dress to repress	dress to repress	1
dr. frankensmith	dr. frankensmith	1
dr. impossible	dr. impossible	1
drinking from a fire hose	drinking from a fire hose	1
drive by	drive by	1
dr. no	dr. no	1
eager leader	eager leader	1
eating alone	eating alone	1
eating out	eating out	1
eclipse	eclipse	1
edition	edition	1
egg donor	egg donor	1
either	either	1
election	election	1
e-mail accounts	e-mail accounts	1
e-mail panic	e-mail panic	1
e-mail signatures	e-mail signatures	1
emergency	emergency	1
emoti-less-con	emoti-less-con	1
emotional catharsis	emotional catharsis	1
emotions	emotions	1
endless summer	endless summer	1
end times	end times	1
engineering ratio	engineering ratio	1
enough .	enough .	1
enrollment vs. unemployment	enrollment vs. unemployment	1
environment	environment	1
epilogue	epilogue	1
escape	escape	1
every	every	1
everybody in grad school	everybody in grad school	1
every day is a potential weekend	every day is a potential weekend	1
every move you make	every move you make	1
everything he can	everything he can	1
exact figures would only embarrass the both of us ...	exact figures would only embarrass the both of us ...	1
exclusive focus	exclusive focus	1
exercise vs. time	exercise vs. time	1
existential deconstruction	existential deconstruction	1
exoplanets explained	exoplanets explained	1
experience	experience	1
explained	explained	1
exploitation	exploitation	1
ex ` s	ex ` s	1
extension	extension	1
extenuation	extenuation	1
extra-curricular activities	extra-curricular activities	1
extra dimensions !	extra dimensions !	1
extraneous	extraneous	1
facebook	facebook	1
factor	factor	1
faculty encounter	faculty encounter	1
faculty job search	faculty job search	1
faculty position	faculty position	1
faculty sightings	faculty sightings	1
fading	fading	1
fair enough	fair enough	1
fake window	fake window	1
fall	fall	1
fall break	fall break	1
fantasy	fantasy	1
faster	faster	1
father-daughter	father-daughter	1
favored to	favored to	1
fear	fear	1
federal	federal	1
feedback	feedback	1
feeling	feeling	1
feelings	feelings	1
feeling sick	feeling sick	1
fever	fever	1
field jounal : coming home	field jounal : coming home	1
field journal : beantown	field journal : beantown	1
field journal : cars , robots and sex	field journal : cars , robots and sex	1
field journal : cu boulder	field journal : cu boulder	1
field journal : even more schools	field journal : even more schools	1
field journal : sacnas	field journal : sacnas	1
field journal : west coast schools	field journal : west coast schools	1
field study	field study	1
film crew ,	film crew ,	1
film crew , pt .	film crew , pt .	1
final draft	final draft	1
finally	finally	1
finals	finals	1
finals week - messing with their minds	finals week - messing with their minds	1
fine	fine	1
finished thesis	finished thesis	1
fire door sign	fire door sign	1
first name	first name	1
first name basis ,	first name basis ,	1
first-name basis , pt .	first-name basis , pt .	1
fish tank	fish tank	1
flush	flush	1
focus group for comic quality assurance	focus group for comic quality assurance	1
follow your dream	follow your dream	1
fomo	fomo	1
food	food	1
food chain	food chain	1
food pyramid	food pyramid	1
fortune cookies	fortune cookies	1
for vs. with	for vs. with	1
fo shizzle	fo shizzle	1
freaking out	freaking out	1
freedom	freedom	1
free excerpt - we have no idea	free excerpt - we have no idea	1
free what ? -lrb- return of comics to the daily -rrb-	free what ? -lrb- return of comics to the daily -rrb-	1
fresh homemade cookies	fresh homemade cookies	1
freshmen	freshmen	1
friday night	friday night	1
friend request	friend request	1
frozen	frozen	1
fume hood	fume hood	1
fun	fun	1
function	function	1
functions	functions	1
funding - sponsors	funding - sponsors	1
funk	funk	1
fun with statistics !	fun with statistics !	1
fusion energy explained	fusion energy explained	1
futile attempts	futile attempts	1
future work	future work	1
geeks anonymous	geeks anonymous	1
geeks on wheels	geeks on wheels	1
gender	gender	1
genealogy	genealogy	1
giant leap	giant leap	1
girl interrupted	girl interrupted	1
glasses	glasses	1
go ?	go ?	1
go back	go back	1
go cardinal !	go cardinal !	1
going green	going green	1
golden sap	golden sap	1
gone	gone	1
good	good	1
goodbye summer	goodbye summer	1
good news	good news	1
good ol' java	good ol' java	1
good time for	good time for	1
google search suggestions	google search suggestions	1
gossip	gossip	1
got ta be perfect	got ta be perfect	1
got ta catch them all	got ta catch them all	1
government shutdown	government shutdown	1
grad	grad	1
grades do n't matter	grades do n't matter	1
grad grub	grad grub	1
grad hair	grad hair	1
grad horoscope	grad horoscope	1
grad housing town hall meeting sketch	grad housing town hall meeting sketch	1
grading	grading	1
grading homeworks	grading homeworks	1
grad olympics	grad olympics	1
grad school	grad school	1
grad school boot camp	grad school boot camp	1
grad school energy	grad school energy	1
grad school makes you dumber	grad school makes you dumber	1
grad school new year resolutions	grad school new year resolutions	1
grad school the board game	grad school the board game	1
grad school utility chart	grad school utility chart	1
grad spam	grad spam	1
grad stereogram	grad stereogram	1
grad student documentary	grad student documentary	1
grad student etiquette	grad student etiquette	1
grad student pick up lines	grad student pick up lines	1
grad tv	grad tv	1
granted for	granted for	1
grant rejection	grant rejection	1
graph - motivation level	graph - motivation level	1
graph - radius of posture curvature	graph - radius of posture curvature	1
graph - work output	graph - work output	1
gravitational waves explained	gravitational waves explained	1
gravitational waves new detection	gravitational waves new detection	1
gre	gre	1
gre analytical practice question # 1	gre analytical practice question # 1	1
great tweets of	great tweets of	1
grooming vs. time in grad	grooming vs. time in grad	1
group meeting	group meeting	1
group meeting ?	group meeting ?	1
group meeting survival skills	group meeting survival skills	1
grown-up	grown-up	1
grown-up conversations	grown-up conversations	1
guess	guess	1
guidelines	guidelines	1
guide to t.a. office	guide to t.a. office	1
haircut	haircut	1
half-eaten	half-eaten	1
half summer personality test	half summer personality test	1
halloween	halloween	1
happening	happening	1
happy	happy	1
happy birthday	happy birthday	1
happy birthday , percentage of years in grad school	happy birthday , percentage of years in grad school	1
happy for them ?	happy for them ?	1
happy mishaps	happy mishaps	1
happy new year	happy new year	1
happy valentine	happy valentine	1
happy valentine 's	happy valentine 's	1
haves	haves	1
have you heard ?	have you heard ?	1
having kids vs. writing your thesis	having kids vs. writing your thesis	1
health and safety	health and safety	1
hearing	hearing	1
hearing problem	hearing problem	1
heat	heat	1
hello -lrb- academic version -rrb-	hello -lrb- academic version -rrb-	1
he 'll think i 'm an idiot .	he 'll think i 'm an idiot .	1
help	help	1
help !	help !	1
hepa	hepa	1
her first white hair	her first white hair	1
hiding	hiding	1
high	high	1
higher education	higher education	1
high school reunion	high school reunion	1
high stakes	high stakes	1
his thesis	his thesis	1
hobo with a ph.d. .	hobo with a ph.d. .	1
hokies	hokies	1
holidata wish	holidata wish	1
holiday !	holiday !	1
holiday gift ideas	holiday gift ideas	1
holiday miracle	holiday miracle	1
holiday parties	holiday parties	1
holiday plan	holiday plan	1
holidays	holidays	1
holidays grace	holidays grace	1
holinight	holinight	1
home	home	1
homecoming !	homecoming !	1
home for the holidays ?	home for the holidays ?	1
honey , i ` m home ...	honey , i ` m home ...	1
honeymoon	honeymoon	1
honeymoonteering	honeymoonteering	1
honorary phd	honorary phd	1
hooding	hooding	1
hope	hope	1
hours	hours	1
housing - conspiracy	housing - conspiracy	1
housing - hooverville	housing - hooverville	1
housing - i have a dream ...	housing - i have a dream ...	1
housing - living in your cubicle	housing - living in your cubicle	1
housing - manzanita trailer park	housing - manzanita trailer park	1
housing - revolt vs. must-see-tv	housing - revolt vs. must-see-tv	1
how dare you	how dare you	1
how does he do it ??	how does he do it ??	1
how do i love	how do i love	1
how funny you find phd comics	how funny you find phd comics	1
how good	how good	1
how grad school is just like	how grad school is just like	1
how important can it be ?	how important can it be ?	1
how irreplaceable are you ?	how irreplaceable are you ?	1
how is he going to know i 'm not there ??	how is he going to know i 'm not there ??	1
how i write	how i write	1
how long your prof. thinks	how long your prof. thinks	1
how many ph.d. s does it take ?	how many ph.d. s does it take ?	1
how professors are just like jedi	how professors are just like jedi	1
how professors spend their time	how professors spend their time	1
how 's it going ?	how 's it going ?	1
hows it going ?	hows it going ?	1
how 's the data ?	how 's the data ?	1
how the grad t.a. stole	how the grad t.a. stole	1
how to build an artificial nose	how to build an artificial nose	1
how to look busy	how to look busy	1
how to read a professor 's door	how to read a professor 's door	1
how to ruin a grad student 's evening	how to ruin a grad student 's evening	1
how to tell it 's time to graduate	how to tell it 's time to graduate	1
how to turn your cv into a	how to turn your cv into a	1
how to write an e-mail to your instructor or teaching assistant	how to write an e-mail to your instructor or teaching assistant	1
how was your summer ?	how was your summer ?	1
how well do you know your advisor ?	how well do you know your advisor ?	1
how your conference presentation goes	how your conference presentation goes	1
how you see your students	how you see your students	1
how you spend your time	how you spend your time	1
humanities	humanities	1
humanities vs. social sciences	humanities vs. social sciences	1
hurry up , daddy !	hurry up , daddy !	1
hyenas vs. dogs	hyenas vs. dogs	1
hypothetically speaking	hypothetically speaking	1
i am ...	i am ...	1
i am a writing god	i am a writing god	1
i am a writing god !	i am a writing god !	1
i am going	i am going	1
i ask myself this question ...	i ask myself this question ...	1
idea	idea	1
ideas	ideas	1
if movie science was more	if movie science was more	1
if only	if only	1
ifs , buts or	ifs , buts or	1
if the project needs me ...	if the project needs me ...	1
if tv science was more like	if tv science was more like	1
if you ca n't wake	if you ca n't wake	1
if you ` re too busy writing ...	if you ` re too busy writing ...	1
if you write it , he will	if you write it , he will	1
i , grad student	i , grad student	1
i in team	i in team	1
i just do n`t know if i have what it takes ...	i just do n`t know if i have what it takes ...	1
i just got here .	i just got here .	1
i knew it	i knew it	1
i know	i know	1
illegible	illegible	1
i love grad school	i love grad school	1
immersed in thought	immersed in thought	1
immunity idol	immunity idol	1
impact factor	impact factor	1
implausible	implausible	1
important	important	1
impossible	impossible	1
impossible ?	impossible ?	1
impostor attack	impostor attack	1
i 'm sure of	i 'm sure of	1
in	in	1
in a	in a	1
inappropriate	inappropriate	1
inbox anxiety	inbox anxiety	1
in case of	in case of	1
in case of fire , save my thesis	in case of fire , save my thesis	1
incentives	incentives	1
inclement	inclement	1
incoming	incoming	1
independence ? day	independence ? day	1
indigestion	indigestion	1
i need your	i need your	1
inevitable	inevitable	1
infinite loop	infinite loop	1
in it	in it	1
inner gollum	inner gollum	1
in-room ethernet connection	in-room ethernet connection	1
in school	in school	1
inspiration	inspiration	1
inspired by true events	inspired by true events	1
instantaneous	instantaneous	1
instant writing	instant writing	1
intellectual	intellectual	1
interdiscipline	interdiscipline	1
interesting	interesting	1
interview	interview	1
in your dreams	in your dreams	1
i remember when summer ...	i remember when summer ...	1
irony ?	irony ?	1
i should be done in ...	i should be done in ...	1
is it worth it ?	is it worth it ?	1
island	island	1
is prof. smith there ?	is prof. smith there ?	1
is that in the book ?	is that in the book ?	1
is that supposed to make me feel better ?	is that supposed to make me feel better ?	1
is that what this was ?	is that what this was ?	1
is this even english ?	is this even english ?	1
is this it ?	is this it ?	1
is your research	is your research	1
it	it	1
it ?	it ?	1
it depends ...	it depends ...	1
its a deal .	its a deal .	1
it 's an odd job	it 's an odd job	1
it 's bold	it 's bold	1
it 's digital	it 's digital	1
its for their own good	its for their own good	1
it should take to do something	it should take to do something	1
it 's in the syllabus	it 's in the syllabus	1
it 's not real life	it 's not real life	1
it 's official	it 's official	1
it ` s so hard to get up in the morning ...	it ` s so hard to get up in the morning ...	1
it 's time .	it 's time .	1
i 've been doing some math ...	i 've been doing some math ...	1
i 've looked at it	i 've looked at it	1
i wonder what 's going on today	i wonder what 's going on today	1
janis joplin , oh prof wo n`t you grant me a phd ...	janis joplin , oh prof wo n`t you grant me a phd ...	1
jetlag	jetlag	1
job offer	job offer	1
joking	joking	1
journal club	journal club	1
journal - georgia tech	journal - georgia tech	1
journal - grad unions	journal - grad unions	1
journal - johns hopkins u.	journal - johns hopkins u.	1
journal - nc state	journal - nc state	1
journal - rice university	journal - rice university	1
journal - tour wrap up	journal - tour wrap up	1
journal - university of utah	journal - university of utah	1
junk	junk	1
just a few more minutes ...	just a few more minutes ...	1
just a minute	just a minute	1
justification	justification	1
just thought i 'd ask ...	just thought i 'd ask ...	1
keeping your paper within the page limit	keeping your paper within the page limit	1
keep it	keep it	1
keyboard imprint	keyboard imprint	1
keystroke	keystroke	1
kickjumper	kickjumper	1
kickstarter doodles	kickstarter doodles	1
kids !	kids !	1
kindergarten	kindergarten	1
kind of a dork	kind of a dork	1
lab age perception chart	lab age perception chart	1
lab business	lab business	1
lab coat	lab coat	1
lab fish tank	lab fish tank	1
lab hazard rating system	lab hazard rating system	1
labor day	labor day	1
lab pool	lab pool	1
laid	laid	1
lame	lame	1
lao-tze	lao-tze	1
l.a.s.e.r.	l.a.s.e.r.	1
laser in use	laser in use	1
last cookie	last cookie	1
late	late	1
latest videos from phd tv	latest videos from phd tv	1
lather , rinse , repeat	lather , rinse , repeat	1
leading expert	leading expert	1
learn spanish !	learn spanish !	1
leave	leave	1
left	left	1
left of	left of	1
leftovers	leftovers	1
les -lrb- really -rrb- miserables - i dreamed a dream	les -lrb- really -rrb- miserables - i dreamed a dream	1
