pop	pop	1
dance pop	dance pop	1
post-teen pop	post-teen pop	1
electropop	electropop	1
pop rap	pop rap	1
tropical house	tropical house	1
r&b	r & b	1
urban contemporary	urban contemporary	1
pop rock	pop rock	1
indie poptimism	indie poptimism	1
viral pop	viral pop	1
edm	edm	1
neo mellow	neo mellow	1
hip pop	hip pop	1
uk pop	uk pop	1
indie pop	indie pop	1
indietronica	indietronica	1
indie cafe pop	indie cafe pop	1
chinese idol pop	chinese idol pop	1
neo soul	neo soul	1
alternative r&b	alternative r & b	1
deep pop r&b	deep pop r & b	1
japanese r&b	japanese r & b	1
deep dance pop	deep dance pop	1
junior eurovision	junior eurovision	1
modern rock	modern rock	1
social media pop	social media pop	1
electro house	electro house	1
redneck	redneck	1
rap	rap	1
latin viral pop	latin viral pop	1
finnish dance pop	finnish dance pop	1
eurovision	eurovision	1
chinese electropop	chinese electropop	1
australian hip hop	australian hip hop	1
danish pop	danish pop	1
k-pop	k-pop	1
belarusian pop	belarusian pop	1
ukrainian pop	ukrainian pop	1
ukrainian rock	ukrainian rock	1
mexican pop	mexican pop	1
emo rap italiano	emo rap italiano	1
swiss pop	swiss pop	1
pop argentino	pop argentino	1
bulgarian rock	bulgarian rock	1
cape town indie	cape town indie	1
swedish idol pop	swedish idol pop	1
teen pop	teen pop	1
mongolian pop	mongolian pop	1
swedish pop	swedish pop	1
boy band	boy band	1
italian arena pop	italian arena pop	1
australian electropop	australian electropop	1
pop electronico	pop electronico	1
australian r&b	australian r & b	1
kazakh pop	kazakh pop	1
indie salvadoreno	indie salvadoreno	1
german pop	german pop	1
thai indie	thai indie	1
thai indie pop	thai indie pop	1
russian dance pop	russian dance pop	1
deep turkish pop	deep turkish pop	1
lithuanian pop	lithuanian pop	1
south african pop	south african pop	1
swedish electropop	swedish electropop	1
bulgarian pop	bulgarian pop	1
europop	europop	1
antiviral pop	antiviral pop	1
british soul	british soul	1
russian pop	russian pop	1
bosnian indie	bosnian indie	1
ukrainian indie	ukrainian indie	1
christian afrobeat	christian afrobeat	1
scream rap	scream rap	1
j-rap	j-rap	1
spanish pop rock	spanish pop rock	1
venezuelan indie	venezuelan indie	1
australian pop	australian pop	1
montenegrin pop	montenegrin pop	1
latin alternative	latin alternative	1
korean city pop	korean city pop	1
talent show	talent show	1
escape room	escape room	1
uae indie	uae indie	1
colombian rock	colombian rock	1
latin arena pop	latin arena pop	1
czech hip hop	czech hip hop	1
belgian pop	belgian pop	1
swiss indie	swiss indie	1
new jack smooth	new jack smooth	1
bolivian rock	bolivian rock	1
chinese manyao	chinese manyao	1
german indie pop	german indie pop	1
mexican indie	mexican indie	1
canadian electropop	canadian electropop	1
polish pop	polish pop	1
hungarian pop	hungarian pop	1
polish reggae	polish reggae	1
thai pop	thai pop	1
la pop	la pop	1
danish pop rock	danish pop rock	1
malaysian hip hop	malaysian hip hop	1
tamil hip hop	tamil hip hop	1
trap metal italiana	trap metal italiana	1
classic portuguese pop	classic portuguese pop	1
swedish soul	swedish soul	1
k-pop boy group	k-pop boy group	1
brasilia indie	brasilia indie	1
argentine telepop	argentine telepop	1
south african alternative	south african alternative	1
musica rondoniense	musica rondoniense	1
melodipop	melodipop	1
tunisian pop	tunisian pop	1
country rap	country rap	1
tatar pop	tatar pop	1
moldovan pop	moldovan pop	1
thai rock	thai rock	1
j-dance	j-dance	1
okinawan pop	okinawan pop	1
burmese pop	burmese pop	1
scandipop	scandipop	1
maltese pop	maltese pop	1
japanese trap	japanese trap	1
reggae catala	reggae catala	1
milan indie	milan indie	1
spanish pop	spanish pop	1
francoton	francoton	1
antideutsche	antideutsche	1
finnish pop	finnish pop	1
pop nacional	pop nacional	1
zim hip hop	zim hip hop	1
shibuya-kei	shibuya-kei	1
czsk hip hop	czsk hip hop	1
macedonian pop	macedonian pop	1
russian indie	russian indie	1
hmong pop	hmong pop	1
russian dance	russian dance	1
cedm	cedm	1
myanmar indie	myanmar indie	1
mundart	mundart	1
new wave pop	new wave pop	1
mestissatge	mestissatge	1
indie electropop	indie electropop	1
indonesian reggae	indonesian reggae	1
latin pop	latin pop	1
indie pop rap	indie pop rap	1
estonian hip hop	estonian hip hop	1
thai indie rock	thai indie rock	1
christian hip hop	christian hip hop	1
aussietronica	aussietronica	1
nightcore	nightcore	1
kavkaz	kavkaz	1
estonian pop	estonian pop	1
armenian pop	armenian pop	1
sertanejo gospel	sertanejo gospel	1
leon gto indie	leon gto indie	1
variete francaise	variete francaise	1
minecraft	minecraft	1
russian hip hop	russian hip hop	1
canadian latin	canadian latin	1
mexican rock	mexican rock	1
classic bulgarian pop	classic bulgarian pop	1
portuguese pop	portuguese pop	1
jordanian pop	jordanian pop	1
rap napoletano	rap napoletano	1
austrian pop	austrian pop	1
rock mineiro	rock mineiro	1
musica londrinense	musica londrinense	1
belarusian indie	belarusian indie	1
israeli hip hop	israeli hip hop	1
japanese soul	japanese soul	1
ska argentino	ska argentino	1
brazilian ska	brazilian ska	1
musica capixaba	musica capixaba	1
glitchcore	glitchcore	1
peruvian indie	peruvian indie	1
russelater	russelater	1
rock en espanol	rock en espanol	1
indie boliviano	indie boliviano	1
german indie	german indie	1
new rave	new rave	1
turbo folk	turbo folk	1
reggae rock	reggae rock	1
schlager	schlager	1
salzburg indie	salzburg indie	1
graz indie	graz indie	1
turkish trap pop	turkish trap pop	1
kosovan pop	kosovan pop	1
barbadian pop	barbadian pop	1
scandinavian r&b	scandinavian r & b	1
latvian rock	latvian rock	1
rock kapak	rock kapak	1
persian pop	persian pop	1
indonesian idol pop	indonesian idol pop	1
thai folk rock	thai folk rock	1
puerto rican pop	puerto rican pop	1
alternative dance	alternative dance	1
italian hip hop	italian hip hop	1
uzbek pop	uzbek pop	1
new jack swing	new jack swing	1
rap galego	rap galego	1
new romantic	new romantic	1
latin rock	latin rock	1
indonesian pop	indonesian pop	1
deep pop edm	deep pop edm	1
pop paraguayo	pop paraguayo	1
russian trap	russian trap	1
guadalajara indie	guadalajara indie	1
guatemalan pop	guatemalan pop	1
spanish rock	spanish rock	1
grime	grime	1
techno kayo	techno kayo	1
scottish hip hop	scottish hip hop	1
shimmer pop	shimmer pop	1
underground hip hop	underground hip hop	1
japanese electropop	japanese electropop	1
albanian pop	albanian pop	1
paraguayan indie	paraguayan indie	1
chalga	chalga	1
pop chileno	pop chileno	1
horrorcore	horrorcore	1
pony	pony	1
trap italiana	trap italiana	1
psychokore	psychokore	1
monterrey indie	monterrey indie	1
swedish synthpop	swedish synthpop	1
hong kong hip hop	hong kong hip hop	1
south african punk	south african punk	1
australian dance	australian dance	1
swedish eurodance	swedish eurodance	1
norwegian pop rap	norwegian pop rap	1
deep latin alternative	deep latin alternative	1
mashup	mashup	1
assyrian pop	assyrian pop	1
persian hip hop	persian hip hop	1
rap cristiano	rap cristiano	1
neomelodici	neomelodici	1
slovak rock	slovak rock	1
caracas indie	caracas indie	1
venezuelan rock	venezuelan rock	1
german pop rock	german pop rock	1
transpop	transpop	1
synthpop	synthpop	1
musica amapaense	musica amapaense	1
zambian pop	zambian pop	1
australian alternative pop	australian alternative pop	1
israeli mediterranean	israeli mediterranean	1
korean r&b	korean r & b	1
thai idol	thai idol	1
neue deutsche welle	neue deutsche welle	1
cologne indie	cologne indie	1
munich indie	munich indie	1
carnaval	carnaval	1
uk alternative pop	uk alternative pop	1
girl group	girl group	1
deep german indie	deep german indie	1
rock nacional brasileiro	rock nacional brasileiro	1
belarusian rock	belarusian rock	1
tajik pop	tajik pop	1
italian alternative	italian alternative	1
abstract hip hop	abstract hip hop	1
african rock	african rock	1
yugoslav new wave	yugoslav new wave	1
indie catracho	indie catracho	1
fremantle indie	fremantle indie	1
deep smooth r&b	deep smooth r & b	1
austrian hip hop	austrian hip hop	1
classic french pop	classic french pop	1
kolsche karneval	kolsche karneval	1
ohio hip hop	ohio hip hop	1
vapor pop	vapor pop	1
rock nica	rock nica	1
reggaeton cristiano	reggaeton cristiano	1
classic russian pop	classic russian pop	1
turkish pop	turkish pop	1
dark trap	dark trap	1
egyptian pop	egyptian pop	1
indian rock	indian rock	1
russian rock	russian rock	1
hungarian rock	hungarian rock	1
dangdut	dangdut	1
coventry indie	coventry indie	1
polish synthpop	polish synthpop	1
hyperpop	hyperpop	1
musica eletronica gospel	musica eletronica gospel	1
maine hip hop	maine hip hop	1
croatian rock	croatian rock	1
christlicher rap	christlicher rap	1
hamburger schule	hamburger schule	1
magyar alternative	magyar alternative	1
dutch idol pop	dutch idol pop	1
polynesian pop	polynesian pop	1
panamanian indie	panamanian indie	1
kiwi rock	kiwi rock	1
chicago rap	chicago rap	1
latvian pop	latvian pop	1
deep r&b	deep r & b	1
shaabi	shaabi	1
classic belgian pop	classic belgian pop	1
norwegian hip hop	norwegian hip hop	1
indonesian indie	indonesian indie	1
guitar case	guitar case	1
puglia indie	puglia indie	1
euskal indie	euskal indie	1
puerto rican rock	puerto rican rock	1
swiss hip hop	swiss hip hop	1
middle east hip hop	middle east hip hop	1
ghanaian gospel	ghanaian gospel	1
deep flow	deep flow	1
sinhala rap	sinhala rap	1
slovenian pop	slovenian pop	1
japanese new wave	japanese new wave	1
country road	country road	1
malaysian tamil pop	malaysian tamil pop	1
j-indie	j-indie	1
kyrgyz pop	kyrgyz pop	1
rock piauiense	rock piauiense	1
australian reggae fusion	australian reggae fusion	1
korean trap	korean trap	1
j-reggae	j-reggae	1
dutch pop	dutch pop	1
arab pop	arab pop	1
karneval	karneval	1
russian reggae	russian reggae	1
nyc pop	nyc pop	1
r&b italiano	r & b italiano	1
welsh hip hop	welsh hip hop	1
alberta country	alberta country	1
french indie pop	french indie pop	1
taiwan pop	taiwan pop	1
levenslied	levenslied	1
chihuahua indie	chihuahua indie	1
ecuadorian indie	ecuadorian indie	1
australian talent show	australian talent show	1
peruvian rock	peruvian rock	1
adoracion	adoracion	1
slovak hip hop	slovak hip hop	1
military rap	military rap	1
christian trap	christian trap	1
zouk riddim	zouk riddim	1
j-pop boy group	j-pop boy group	1
thai hip hop	thai hip hop	1
electronica cristiana	electronica cristiana	1
drill	drill	1
dance-punk	dance-punk	1
latin funk	latin funk	1
telugu worship	telugu worship	1
russian synthpop	russian synthpop	1
volkspop	volkspop	1
j-pop	j-pop	1
electronica argentina	electronica argentina	1
kenyan pop	kenyan pop	1
bern indie	bern indie	1
lgbtq+ hip hop	lgbtq + hip hop	1
kwaito	kwaito	1
volkstumliche musik	volkstumliche musik	1
rock uruguayo	rock uruguayo	1
latin	latin	1
russian gangster rap	russian gangster rap	1
rock alagoano	rock alagoano	1
seattle hip hop	seattle hip hop	1
chinese viral pop	chinese viral pop	1
turkish hip hop	turkish hip hop	1
gospel reggae	gospel reggae	1
chip hop	chip hop	1
indonesian hip hop	indonesian hip hop	1
bass trap	bass trap	1
nordic house	nordic house	1
rock gaucho	rock gaucho	1
contemporary country	contemporary country	1
chechen pop	chechen pop	1
moroccan pop	moroccan pop	1
bangladeshi indie	bangladeshi indie	1
german rock	german rock	1
afrikaans	afrikaans	1
k-rap	k-rap	1
alpine yodeling	alpine yodeling	1
deep german hip hop	deep german hip hop	1
ska catala	ska catala	1
rebel blues	rebel blues	1
metropopolis	metropopolis	1
vienna indie	vienna indie	1
canadian contemporary r&b	canadian contemporary r & b	1
funk mexicano	funk mexicano	1
greenlandic pop	greenlandic pop	1
denver rap	denver rap	1
deep new wave	deep new wave	1
carimbo	carimbo	1
mizrahi	mizrahi	1
hamburg indie	hamburg indie	1
soul flow	soul flow	1
