clickbait-corrected p-value	clickbait-corrected p-value	1
selection effect	selection effect	1
gdpr	gdpr	1
business update	business update	1
morning news	morning news	1
mc hammer age	mc hammer age	1
repairs	repairs	1
fatal crash rate	fatal crash rate	1
safetysat	safetysat	1
research areas by size and countedness	research areas by size and countedness	1
driving cars	driving cars	1
imho	imho	1
containers	containers	1
python environment	python environment	1
river border	river border	1
meteorologist	meteorologist	1
misinterpretation	misinterpretation	1
clutter	clutter	1
evangelism	evangelism	1
rickrolling anniversary	rickrolling anniversary	1
history	history	1
congressional testimony	congressional testimony	1
paperwork	paperwork	1
friendly questions	friendly questions	1
right click	right click	1
conversational dynamics	conversational dynamics	1
star lore	star lore	1
autogyros	autogyros	1
personal data	personal data	1
name dominoes	name dominoes	1
not available	not available	1
robot future	robot future	1
violin plots	violin plots	1
smart home security	smart home security	1
background apps	background apps	1
spatial orientation	spatial orientation	1
namespace land rush	namespace land rush	1
generations	generations	1
interaction	interaction	1
code golf	code golf	1
the simpsons	the simpsons	1
self-driving issues	self-driving issues	1
unification	unification	1
robots	robots	1
impostor syndrome	impostor syndrome	1
the history of unicode	the history of unicode	1
backpack decisions	backpack decisions	1
super bowl watch party	super bowl watch party	1
chicken pox and name statistics	chicken pox and name statistics	1
fruit collider	fruit collider	1
campaign fundraising emails	campaign fundraising emails	1
night sky	night sky	1
scientific paper graph quality	scientific paper graph quality	1
the end of the rainbow	the end of the rainbow	1
universal dreams	universal dreams	1
memorable quotes	memorable quotes	1
dying gift	dying gift	1
the food size cycle	the food size cycle	1
meltdown and spectre	meltdown and spectre	1
iata airport abbreviations	iata airport abbreviations	1
desert golfing	desert golfing	1
phone security	phone security	1
the true meaning of christmas	the true meaning of christmas	1
virtual assistant	virtual assistant	1
calendar facts	calendar facts	1
argument timing	argument timing	1
tinder	tinder	1
bad code	bad code	1
self-driving car milestones	self-driving car milestones	1
solar panels	solar panels	1
felsius	felsius	1
interferometry	interferometry	1
emoji sports	emoji sports	1
interstellar asteroid	interstellar asteroid	1
nexus	nexus	1
how to make friends	how to make friends	1
temperature preferences	temperature preferences	1
nightmare email feature	nightmare email feature	1
twitter verification	twitter verification	1
a	a	1
thermostat	thermostat	1
defensive profile	defensive profile	1
sky spotters	sky spotters	1
digital resource lifespan	digital resource lifespan	1
credit card rewards	credit card rewards	1
immune system	immune system	1
making progress	making progress	1
cast iron pan	cast iron pan	1
research risks	research risks	1
bun trend	bun trend	1
state borders	state borders	1
logical	logical	1
jet lag	jet lag	1
ears	ears	1
self driving	self driving	1
active ingredients only	active ingredients only	1
worrying scientist interviews	worrying scientist interviews	1
real estate	real estate	1
thread	thread	1
usb cables	usb cables	1
obsolete technology	obsolete technology	1
what to bring	what to bring	1
still in use	still in use	1
two down , one to go	two down , one to go	1
typing notifications	typing notifications	1
ensemble model	ensemble model	1
ringer volume/media volume	ringer volume/media volume	1
supervillain plan	supervillain plan	1
color models	color models	1
drone training	drone training	1
eclipse review	eclipse review	1
eclipse birds	eclipse birds	1
earth orbital diagram	earth orbital diagram	1
