Fifth Avenue at Central Park South	fifth avenue at central park south	1
1 United Nations Plaza	1 united nations plaza	1
2 Lexington Ave	2 lexington ave	1
1 Central Park W	1 central park w	1
Broadway,2688 5	broadway ,2688 5	1
2 Avenue Of The Americas	2 avenue of the americas	1
9 S William St	9 s william st	1
8 Albany Street	8 albany street	1
9 Crosby Street	9 crosby street	1
8 Stone St	8 stone st	1
8 Herald Square	8 herald square	1
5 W 8th St	5 w 8 th st	1
6 Times Square	6 times square	1
2 St Marks Place	2 st marks place	1
5 Madison Avenue	5 madison avenue	1
6 Platt St	6 platt st	1
6 Water St	6 water st	1
11 Howard Street	11 howard street	1
2 West Street	2 west street	1
Broadway at West 28th St	broadway at west 28 th st	1
Fifth Avenue at Central Park South	fifth avenue at central park south	1
1 United Nations Plaza	1 united nations plaza	1
2 Lexington Ave	2 lexington ave	1
1 Central Park W	1 central park w	1
Broadway,2688 5	broadway ,2688 5	1
2 Avenue Of The Americas	2 avenue of the americas	1
9 S William St	9 s william st	1
8 Albany Street	8 albany street	1
9 Crosby Street	9 crosby street	1
8 Stone St	8 stone st	1
8 Herald Square	8 herald square	1
5 W 8th St	5 w 8 th st	1
6 Times Square	6 times square	1
2 St Marks Place	2 st marks place	1
5 Madison Avenue	5 madison avenue	1
6 Platt St	6 platt st	1
6 Water St	6 water st	1
11 Howard Street	11 howard street	1
2 West Street	2 west street	1
Broadway at West 28th St	broadway at west 28 th st	1
Fifth Avenue at Central Park South	fifth avenue at central park south	1
1 United Nations Plaza	1 united nations plaza	1
2 Lexington Ave	2 lexington ave	1
1 Central Park W	1 central park w	1
Broadway,2688 5	broadway ,2688 5	1
2 Avenue Of The Americas	2 avenue of the americas	1
9 S William St	9 s william st	1
8 Albany Street	8 albany street	1
9 Crosby Street	9 crosby street	1
8 Stone St	8 stone st	1
8 Herald Square	8 herald square	1
5 W 8th St	5 w 8 th st	1
6 Times Square	6 times square	1
2 St Marks Place	2 st marks place	1
5 Madison Avenue	5 madison avenue	1
6 Platt St	6 platt st	1
6 Water St	6 water st	1
11 Howard Street	11 howard street	1
2 West Street	2 west street	1
Broadway at West 28th St	broadway at west 28 th st	1
Fifth Avenue at Central Park South	fifth avenue at central park south	1
1 United Nations Plaza	1 united nations plaza	1
2 Lexington Ave	2 lexington ave	1
1 Central Park W	1 central park w	1
Broadway,2688 5	broadway ,2688 5	1
2 Avenue Of The Americas	2 avenue of the americas	1
9 S William St	9 s william st	1
8 Albany Street	8 albany street	1
9 Crosby Street	9 crosby street	1
8 Stone St	8 stone st	1
8 Herald Square	8 herald square	1
5 W 8th St	5 w 8 th st	1
6 Times Square	6 times square	1
2 St Marks Place	2 st marks place	1
5 Madison Avenue	5 madison avenue	1
6 Platt St	6 platt st	1
6 Water St	6 water st	1
11 Howard Street	11 howard street	1
2 West Street	2 west street	1
Broadway at West 28th St	broadway at west 28 th st	1
