6 cakes	6 cakes	1
1 - 9x13 inch or 2 - 9 inch round pans	1 - 9 x13 inch or 2 - 9 inch round pans	1
1 - 3 layer 9 inch cake	1 - 3 layer 9 inch cake	2
1 - 4 layer 9 inch cake	1 - 4 layer 9 inch cake	1
3 - 9 inch round pans	3 - 9 inch round pans	1
1 - 2 layer 8 inch cake	1 - 2 layer 8 inch cake	1
1 - 9x13 inch pan	1 - 9 x13 inch pan	1
1 - 9 inch cheesecake	1 - 9 inch cheesecake	1
1 - 10 inch Bundt pan	1 - 10 inch bundt pan	1
2 - 9 inch round cake layers	2 - 9 inch round cake layers	1
1 9-inch round cake	1 9 inch round cake	1
3 layer 8 inch cake	3 layer 8 inch cake	1
2 loaves	2 loaves	1
1 pound pie dough	1 pound pie dough	1
2 large sandwiches	2 large sandwiches	1
4 hand pies	4 hand pies	1
8 scones	8 scones	1
4 pounds chicken wings	4 pounds chicken wings	1
1 serving	1 serving	1
4 Servings	4 servings	1
1 pie	1 pie	1
8 cabbage rolls	8 cabbage rolls	1
4 sandwiches	4 sandwiches	2
2 large chicken breasts	2 large chicken breasts	1
2 game hens	2 game hens	1
8 Servings	8 servings	1
3 quarts	3 quarts	1
1 9-inch pie	1 9 inch pie	1
2 tablespoon	2 tablespoon	1
1 dozen cupcakes	1 dozen cupcakes	1
