test	test	1
"I was hesitant because I always cook from scratch. But I've had so much trouble lately with  getting my chocolate cakes moist because of the high altitude I'm at, so I'll try anything. It turned out perfect. I cooked it in 9"" cake pans for a birthday cake filled it with raspberry & frosted with chocolate buttercream. Everyone raved about it, and it was so moist. I used the mini chocolate chips and they were perfect, melted totally. My husband said it was almost like a brownie cake. Great for decorating because it holds it shape and doesn't crumble. It will be my standard chocolate cake recipe, can't wait to try it again with different fillings and frostings. Yum!!!"	i was hesitant because i always cook from scratch . but i 've had so much trouble lately with getting my chocolate cakes moist because of the high altitude i 'm at , so i 'll try anything . it turned out p erfect . i cooked it in 9 '' cake pans for a birthday cake filled it with raspberry & frosted with chocolate buttercream . everyone raved about it , and it was so moist . i used the mini chocolate chips and they were perfect , melted totally . my husband said it was almost like a brownie cake . great for decorating because it holds it shape and does n't crumble . it will be my standard chocolate cake recipe , ca n't wait to try it again with different fillings and frostings . yum !!!	1
I had to make a second cake.  The recipe has too much oil and would not cook completely without the outside being overdone.  Cooked it again with 1/2 the oil and it was great.	i had to make a second cake . the recipe has too much oil and would not cook completely without the outside being overdone . cooked it again with 1/2 the oil and it was great .	1
"Thanks for posting this recipe, Denise.  It's a keeper for me.  I can say that for me, it is just almost too much chocolate cake.  I love that this cake is guaranteed to rise and have a fine texture due to the cake and pudding mixes yet it is lifted from being 'just a cake mix' by the addition of sour cream and the chocolate chips.

I found this cake very easy to make and it was a blessing in disguise that the top of the cake rose above the rim of my tin.  When the cake cooled, I was able to cut a perfectly flat base for the cake.. and thus sample the cake warm.  It was bliss when eaten with vanilla ice cream and chocolate sauce.

I followed reccommendations of other reviewers by cutting the oil to 1/2 cup, adding 1/3 cup milk and cutting back the chocolate chips to about 1 1/4 cups, or a large bag of chocolate chips in Australian brands.

I agree that this cake is enough without a glaze, but as I'm making this for a birthday (mine!!) - I will be topping it with the Satiny Chocolate Glaze from this website.

This is a great recipe to have when you need a special cake quickly and with the minimum of fuss.

Two thumbs up!  I am sure the chocoholics in my family will polish this up tonight."	thanks for posting this recipe , denise . it 's a keeper for me . i can say that for me , it is just almost too much chocolate cake . i love that this cake is guaranteed to rise and have a fine texture d ue to the cake and pudding mixes yet it is lifted from being ` just a cake mix ' by the addition of sour cream and the chocolate chips . i found this cake very easy to make and it was a blessing in disg uise that the top of the cake rose above the rim of my tin . when the cake cooled , i was able to cut a perfectly flat base for the cake . . and thus sample the cake warm . it was bliss when eaten with v anilla ice cream and chocolate sauce . i followed reccommendations of other reviewers by cutting the oil to 1/2 cup , adding 1/3 cup milk and cutting back the chocolate chips to about 1 1/4 cups , or a large bag of chocolate chips in australian brands . i agree that this cake is enough without a glaze , but as i 'm making this for a birthday -lrb- mine !! -rrb- - i will be topping it with the satiny chocolate gl aze from this website . this is a great recipe to have when you need a special cake quickly and with the minimum of fuss . two thumbs up ! i am sure the chocoholics in my family will polish this up to night .	1
I've done quite a lot of baking in my life, which has included more cakes than I could count. This chocolate cake is one of the best I've ever made. Moist, fragrant,dark and with a rich chocolate flavor. It will become a classic go-to recipe for me. No reason to search for a better chocolate cake.	i 've done quite a lot of baking in my life , which has included more cakes than i could count . this chocolate cake is one of the best i 've ever made . moist , fragrant , dark and with a rich chocolate flav or . it will become a classic go-to recipe for me . no reason to search for a better chocolate cake .	1
"For those who had problems with the cake rising, I found this explanation of Dutch process cocoa which can make difference in the results: 
When it comes to baking, be sure to use the type of cocoa specified in the recipe. Those that are leavened with baking soda require natural (non-Dutch processed) cocoa so that the alkalinity of the baking soda can neutralize the acidic cocoa. Recipes leavened with baking powder require Dutch-process cocoa to maintain the neutral pH of both.
I used parchment paper in the bottom of the cake pan and up the sides to lift out the cake (8x8pan). The rest I made as cupcakes. The cupcakes cooked more evenly in less time. 
"	for those who had problems with the cake rising , i found this explanation of dutch process cocoa which can make difference in the results : when it comes to baking , be sure to use the type of cocoa s pecified in the recipe . those that are leavened with baking soda require natural -lrb- non-dutch processed -rrb- cocoa so that the alkalinity of the baking soda can neutralize the acidic cocoa . recipes leavened with baking powder require dutch-process cocoa to maintain the neutral ph of both . i used parchment paper in the bottom of the cake pan and up the sides to lift out the cake -lrb- 8 x8 pan -rrb- . the rest i mad e as cupcakes . the cupcakes cooked more evenly in less time .	1
This cake is so so moist and tasty. I frosted the cake with yellow frosting (I used food coloring) and then made black sugar bats all over the cake. I have a bat cookie cutter so I placed it on the cake in several postions and sprinkled black sugar within the cutter. I used little round red candies for the eyes. It looks like black bats flying in front of a full moon!	this cake is so so moist and tasty . i frosted the cake with yellow frosting -lrb- i used food coloring -rrb- and then made black sugar bats all over the cake . i have a bat cookie cutter so i placed it on the ca ke in several postions and sprinkled black sugar within the cutter . i used little round red candies for the eyes . it looks like black bats flying in front of a full moon !	1
Meh I was a little disappointed because this was rated so highly. Moist but not chocolatey... Good basic recipe but I wasn't blown away.	meh i was a little disappointed because this was rated so highly . moist but not chocolatey ... good basic recipe but i was n't blown away .	1
This cake is delicious and simple to make! Two tips:#1: Have your frosting ingredients set out and ready to go. After stirring in the powdered sugar DO work quickly to spread it on the cake. It does become like fudge consistency as it cools. #2 If you have not checked to see how level your oven is you may want to do that before you start. An unlevel surface does show alot on a sheet cake. Wonderful recipe!! You won't be disappointed!! Thanks!!!!!!!	this cake is delicious and simple to make ! two tips : # 1 : have your frosting ingredients set out and ready to go . after stirring in the powdered sugar do work quickly to spread it on the cake . it does b ecome like fudge consistency as it cools . # 2 if you have not checked to see how level your oven is you may want to do that before you start . an unlevel surface does show alot on a sheet cake . wonderfu l recipe !! you wo n't be disappointed !! thanks !!!!!!!	1
An easy recipe for a good basic sheet cake. Use a 9x11 pan or double the recipe because 10x13 made for a very thin cake!	an easy recipe for a good basic sheet cake . use a 9 x11 pan or double the recipe because 10 x13 made for a very thin cake !	1
excellent! just perfect. i did not make this in a jelly roll pan. i made it like a normal cake in a long rectangular cake pan. if your reading this review there is no need to search for another texas sheet cake recipe. make this one.	excellent ! just perfect . i did not make this in a jelly roll pan . i made it like a normal cake in a long rectangular cake pan . if your reading this review there is no need to search for another texas sheet cake recipe . make this one .	1
a little slice of heaven! super easy for a whole lotta folks! it never fails that folks call this brownies. it's that rich in a way but much more decadent and frankly I can eat more of this than brownies any day of the week! Make this a day ahead - lets the icing set up and just is overall much better. (not that day one is shabby mind you)	a little slice of heaven ! super easy for a whole lotta folks ! it never fails that folks call this brownies . it 's that rich in a way but much more decadent and frankly i can eat more of this than brown ies any day of the week ! make this a day ahead - lets the icing set up and just is overall much better . -lrb- not that day one is shabby mind you -rrb-	1
Needs more chocolate flavor. It was ok otherwise. Will not make as written again. I would start with 7 T of cocoa powder for cake and frosting use buttermilk in the frosting and maybe try coffee for replacement of the water.	needs more chocolate flavor . it was ok otherwise . will not make as written again . i would start with 7 t of cocoa powder for cake and frosting use buttermilk in the frosting and maybe try coffee for r eplacement of the water .	1
"AMAZING!  Make this and you will look like a pro!
My suggestions:
1) use 4x as much instant coffee powder in cake batter, and make 2 layers of coffee flavored cake
2)  i followed another reviewer's suggestion for substituting mascarpone with a mix of cream cheese, sour cream, and heavy cream, and it tastes great and is cheaper
3)  you must turn the cake upside down when layering, otherwise coffee liqueur will not soak into it
4)  i used kahlua for liqueur
5)  I used Duncan Hines supreme white cake mix-it is moist and uses egg whites
6)  i used a very strong espresso instead of the coffee to give it more flavor...also, instead of making coffee/espresso, just add water to some of the instant coffee powder, it tastes just fine in the cake"	amazing ! make this and you will look like a pro ! my suggestions : 1 -rrb- use 4 x as much instant coffee powder in cake batter , and make 2 layers of coffee flavored cake 2 -rrb- i followed another reviewer 's su ggestion for substituting mascarpone with a mix of cream cheese , sour cream , and heavy cream , and it tastes great and is cheaper 3 -rrb- you must turn the cake upside down when layering , otherwise coffee liqueur will not soak into it 4 -rrb- i used kahlua for liqueur 5 -rrb- i used duncan hines supreme white cake mix-it is moist and uses egg whites 6 -rrb- i used a very strong espresso instead of the coffee to gi ve it more flavor ... also , instead of making coffee/espresso , just add water to some of the instant coffee powder , it tastes just fine in the cake	1
Used 1 cup of coffee and 3T of liqueur. Made it twice this way and it turns out so wonderfly moist and flavorful. Oddly the coffee flavor is still very subtle. The cake layers are so moist with the extra liquid it is best to freeze them before you layer them.This way they will not fall apart when stacking.	used 1 cup of coffee and 3 t of liqueur . made it twice this way and it turns out so wonderfly moist and flavorful . oddly the coffee flavor is still very subtle . the cake layers are so moist with the ex tra liquid it is best to freeze them before you layer them.this way they will not fall apart when stacking .	1
Excellent. To make things easier, I used only 2 pans.  I poured half of the cake batter onto 1 deep pan and used a cake slicer to evenly divide it.  I followed the instructions to detail afterward.  Follow these tips for outstanding results: 1. Instead of mixing the instant coffee into the batter, mix 1/4 cup of water with about 1 tbsp of instant cofee powder and mix into the batter.  It tastes like an awesome mocha cake. 2. Also, be generous with the coffee mixture as you're pouring it over your cakes, that way the cake is MOIST.  Don't overdo it though! 3. Buy your MASCARPONE CHEESE at Trader Joes or Sams Club (even cheaper)...it's significantly cheaper there than any other grocery store that I went to. Excellent recipe!! thank you.	excellent . to make things easier , i used only 2 pans . i poured half of the cake batter onto 1 deep pan and used a cake slicer to evenly divide it . i followed the instructions to detail afterward . f ollow these tips for outstanding results : 1 . instead of mixing the instant coffee into the batter , mix 1/4 cup of water with about 1 tbsp of instant cofee powder and mix into the batter . it tastes li ke an awesome mocha cake . 2 . also , be generous with the coffee mixture as you 're pouring it over your cakes , that way the cake is moist . do n't overdo it though ! 3 . buy your mascarpone cheese at trade r joes or sams club -lrb- even cheaper -rrb- ... it 's significantly cheaper there than any other grocery store that i went to . excellent recipe !! thank you .	1
I thought that the cake and the filling recipes were wonderful. But when it was time to make the fristing, it turned out horrible. It was extremely watery and tasted sour. I decided to make a simple cream cheese combination frosting instead; and fortunately my cake was saved and everyone loved it. Can anyone tell me what I might have done wrong with the frosting?	i thought that the cake and the filling recipes were wonderful . but when it was time to make the fristing , it turned out horrible . it was extremely watery and tasted sour . i decided to make a simple c ream cheese combination frosting instead ; and fortunately my cake was saved and everyone loved it . can anyone tell me what i might have done wrong with the frosting ?	1
Absolutely delicious!  So easy to make with a beautiful finished outcome.  My whole family adored it and I've made it twice so far.  One note - if you want luscious chocolate curls don't use a square of baking chocolate.  Melt chocolate chips and shortening, refrigerate in a sm. rectangular pan, and shave away.  Great recipe! 	absolutely delicious ! so easy to make with a beautiful finished outcome . my whole family adored it and i 've made it twice so far . one note - if you want luscious chocolate curls do n't use a square of baking chocolate . melt chocolate chips and shortening , refrigerate in a sm . rectangular pan , and shave away . great recipe !	1
I made one change based on an old tradition that was passed on to me; instead of using boiling water I used freshly brewed hot coffee.  The cake was the best thing I have tasted and it stayed fresh and moist in a cake keeper for a full week.  I used a silicone bundt pan rather than round pans.	i made one change based on an old tradition that was passed on to me ; instead of using boiling water i used freshly brewed hot coffee . the cake was the best thing i have tasted and it stayed fresh an d moist in a cake keeper for a full week . i used a silicone bundt pan rather than round pans .	1
"this recipe is excellent! I bake alot and this is the BEST chocolate cake recipe i have ever tried! Instead of butter icing, try a chocolate glaze over the cake just before its completely cool so the glaze soaks in YUM! Glaze: 1 cup sifted icing sugar
2 tablespoons cocoa
2 tablespoons milk
½ teaspoon vanilla"	this recipe is excellent ! i bake alot and this is the best chocolate cake recipe i have ever tried ! instead of butter icing , try a chocolate glaze over the cake just before its completely cool so the glaze soaks in yum ! glaze : 1 cup sifted icing sugar 2 tablespoons cocoa 2 tablespoons milk 1/2 teaspoon vanilla	1
Wow,very tasty! I LOVE the frosting!!!  I use the frosting on my home made ice cream cakes since it is so thick and holds up very well! I have also made this recipe into an ice cream cake and it worked wonderfully. Just remember not to overbake it. For an ice cream cake, pour batter into 2 identical springform pans. Bake as directed, coolcompletely, then slice in half horizontally so you have 4 cake layers. Then place the bottomlayer back in the springform pan, top with softened ice cream, anotherlayer ofcake, more ice cream, another cake, more ice cream, then cake! Takes about a half gallon of ice cream. Freeze completely, prob overnight, open sides of pan. Then I ice a thin layer, put back in freezer for an hour or so, then frostcake as usual! Store in freezer until right before serving! It's been a hit several times over!	wow , very tasty ! i love the frosting !!! i use the frosting on my home made ice cream cakes since it is so thick and holds up very well ! i have also made this recipe into an ice cream cake and it worke d wonderfully . just remember not to overbake it . for an ice cream cake , pour batter into 2 identical springform pans . bake as directed , coolcompletely , then slice in half horizontally so you have 4 ca ke layers . then place the bottomlayer back in the springform pan , top with softened ice cream , anotherlayer ofcake , more ice cream , another cake , more ice cream , then cake ! takes about a half gallon o f ice cream . freeze completely , prob overnight , open sides of pan . then i ice a thin layer , put back in freezer for an hour or so , then frostcake as usual ! store in freezer until right before serving ! it 's been a hit several times over !	1
"Hi, I just made this cake and was also concerned about how very thin the batter was after adding the hot water but it turned out great the cake was very moist but(warning) be sure to put your cakes in the oven on a cookie sheet in case they boil over I did not and one boiled over a bit and I had a lovely mess to clean up :(  I also made the the frosting and it turned out great as well the whole family enjoyed this cake.. :)  
Thanks for a nice recipe :)"	hi , i just made this cake and was also concerned about how very thin the batter was after adding the hot water but it turned out great the cake was very moist but -lrb- warning -rrb- be sure to put your cakes in the oven on a cookie sheet in case they boil over i did not and one boiled over a bit and i had a lovely mess to clean up :-lrb- i also made the the frosting and it turned out great as well the whole fa mily enjoyed this cake . . :-rrb- thanks for a nice recipe :-rrb-	1
I am a pastry chef, and this is the only chocolate cake that I will make from now on.  I separated the eggs and whipped the whites separately with some of the sugar, then folded it all together to make is extra airy.  This recipe could easily be flavored with coffee, juice, or buttermilk in place of the water. FANTASTIC!	i am a pastry chef , and this is the only chocolate cake that i will make from now on . i separated the eggs and whipped the whites separately with some of the sugar , then folded it all together to mak e is extra airy . this recipe could easily be flavored with coffee , juice , or buttermilk in place of the water . fantastic !	2
I get tired of my usual choc. cake recipes so am always looking for something new. This is a very good cake. I made it in a 12 cup bundt pan but other than that followed the recipe exactly and found it to be sweet enough with a good chocolate flavor and I had no problem with the cake falling apart. For those who thought it was dry: make sure the cocoa-boiling water mixture has cooled thoroughly before proceeding with the recipe otherwise the cake may turn out heavy and dry.	i get tired of my usual choc . cake recipes so am always looking for something new . this is a very good cake . i made it in a 12 cup bundt pan but other than that followed the recipe exactly and found i t to be sweet enough with a good chocolate flavor and i had no problem with the cake falling apart . for those who thought it was dry : make sure the cocoa-boiling water mixture has cooled thoroughly be fore proceeding with the recipe otherwise the cake may turn out heavy and dry .	1
Quite disappointing after all the excellent reviews. Like many I've been searching for 'the' chocolate cake recipe and this is not it. I'm going to stick to oil as my search continues -- the butter-based chocolate cake recipes I've tried resulted to rubbery textures and oil-based ones consistently give better results. (If anyone knows the explanation or better yet the solution to this it will be much appreciated!)	quite disappointing after all the excellent reviews . like many i 've been searching for ` the ' chocolate cake recipe and this is not it . i 'm going to stick to oil as my search continues -- the butter-ba sed chocolate cake recipes i 've tried resulted to rubbery textures and oil-based ones consistently give better results . -lrb- if anyone knows the explanation or better yet the solution to this it will be m uch appreciated ! -rrb-	1
I made this cake for the first time yesterday and it came out really moist and delicious. I used coffee instead of water as suggested and I cooked the cake in 2 pans and cut each cake into 2 layers. I used whipped ganache with rum as filling and i decorated the cake with fresh berries. It was a huge success!	i made this cake for the first time yesterday and it came out really moist and delicious . i used coffee instead of water as suggested and i cooked the cake in 2 pans and cut each cake into 2 layers . i used whipped ganache with rum as filling and i decorated the cake with fresh berries . it was a huge success !	1
"When I want chocolate cake, nine times out of ten, this is the cake I make.  Whether eaten plain, or my favourite way, which is sandwiched with dulce de leche and topped with chocolate ganache, it's brilliant!  One little thing though:  the directions are fine if you want to serve your cake in the pan, but if you want to unmould it for prettier presentation, your pan will need to be greased and floured, or brushed with bakers' secret (which is no secret: combine equal parts oil, shortening, and flour).  This means you should mix the cake in a separate bowl, but hey, it's still really easy and cleanup is minimal.

Now!  For all you people nervous about the vinegar:  there is a simple reason why it's there.  For a cake to rise, you need an alkali, and an acid.  When the alkali and the acid combine, they react with each other, giving off carbon dioxide, which is what makes the cake rise.  All cakes other than yeast cakes are risen this way.  The alkali/acid deal is present in baking powder (already mixed for you), and in recipes that call for baking soda (alkali) and, say, cream of tartar (acid).  In this case, you have baking soda (alkali) and vinegar (acid).  They react with each other and make the cake rise.  You CANNOT taste the vinegar, so relax, make the cake, and enjoy!"	when i want chocolate cake , nine times out of ten , this is the cake i make . whether eaten plain , or my favourite way , which is sandwiched with dulce de leche and topped with chocolate ganache , it 's b rilliant ! one little thing though : the directions are fine if you want to serve your cake in the pan , but if you want to unmould it for prettier presentation , your pan will need to be greased and fl oured , or brushed with bakers ' secret -lrb- which is no secret : combine equal parts oil , shortening , and flour -rrb- . this means you should mix the cake in a separate bowl , but hey , it 's still really easy and cleanup is minimal . now ! for all you people nervous about the vinegar : there is a simple reason why it 's there . for a cake to rise , you need an alkali , and an acid . when the alkali and the acid combine , they react with each other , giving off carbon dioxide , which is what makes the cake rise . all cakes other than yeast cakes are risen this way . the alkali/acid deal is present in baking pow der -lrb- already mixed for you -rrb- , and in recipes that call for baking soda -lrb- alkali -rrb- and , say , cream of tartar -lrb- acid -rrb- . in this case , you have baking soda -lrb- alkali -rrb- and vinegar -lrb- acid -rrb- . they react with each other and make the cake rise . you can not taste the vinegar , so relax , make the cake , and enjoy !	2
"YUM!!
the first 4 time i make it i added chocolate chips YYUMMMMM it's the best chocolate cake i've ever tasted!!!!!!
i usually make half the recipe to fit in a small round pan, i also tried making it white by added cornstarch instead of cocoa powder and adding a tsp. orange zest, it was a beautiful orange cake!!
Thanks sooooo much for the recipe"	yum !! the first 4 time i make it i added chocolate chips yyummmmm it 's the best chocolate cake i 've ever tasted !!!!!! i usually make half the recipe to fit in a small round pan , i also tried making it white by added cornstarch instead of cocoa powder and adding a tsp . orange zest , it was a beautiful orange cake !! thanks sooooo much for the recipe	1
