cooking spray	cooking spray	1
8 ounces chopped dark chocolate	8 ounces chopped dark chocolate	1
2 eggs	2 eggs	1
2 ½ cups white sugar	2 1/2 cups white sugar	1
1 cup heavy whipping cream	1 cup heavy whipping cream	1
½ cup butter, melted	1/2 cup butter , melted	1
1 ½ cups all-purpose flour	1 1/2 cups all-purpose flour	1
1 teaspoon salt	1 teaspoon salt	1
1 cup dark chocolate chips (optional)	1 cup dark chocolate chips -lrb- optional -rrb-	1
1 cup chopped pecans (optional)	1 cup chopped pecans -lrb- optional -rrb-	1
¾ cup unsalted butter	3/4 cup unsalted butter	1
7 large eggs, separated	7 large eggs , separated	1
⅞ cup sugar, divided	⅞ cup sugar , divided	1
1 pinch salt	1 pinch salt	1
1 tablespoon confectioners' sugar for dusting	1 tablespoon confectioners ' sugar for dusting	1
4 eggs, separated	4 eggs , separated	1
1 tablespoon white sugar, divided	1 tablespoon white sugar , divided	1
½ cup unsalted butter	1/2 cup unsalted butter	1
1 tablespoon hot water	1 tablespoon hot water	1
1 teaspoon all-purpose flour	1 teaspoon all-purpose flour	1
