Palo Alto	palo alto	33
Menlo Park	menlo park	7
Los Altos	los altos	6
Mountain View	mountain view	23
Atherton	atherton	2
Redwood City	redwood city	14
Mountain view	mountain view	1
Sunnyvale	sunnyvale	7
San Carlos	san carlos	1
Palo Alto	palo alto	33
Menlo Park	menlo park	7
Los Altos	los altos	6
Mountain View	mountain view	23
Atherton	atherton	2
Redwood City	redwood city	14
Mountain view	mountain view	1
Sunnyvale	sunnyvale	7
San Carlos	san carlos	1
Palo Alto	palo alto	33
Menlo Park	menlo park	7
Los Altos	los altos	6
Mountain View	mountain view	23
Atherton	atherton	2
Redwood City	redwood city	14
Mountain view	mountain view	1
Sunnyvale	sunnyvale	7
San Carlos	san carlos	1
