Singapore	singapore	17
Gros Islet	gros islet	4
San Jose	san jose	2
George Town	george town	3
St. Julian's	st. julian 's	4
Nassau	nassau	2
St. Paul's Bay	st. paul 's bay	5
Sosua	sosua	1
Sliema	sliema	5
Pembroke	pembroke	2
Providenciales	providenciales	1
Freeport	freeport	1
Southampton	southampton	1
Montego Bay	montego bay	2
Paget	paget	2
Negril	negril	3
Holetown	holetown	1
Tamarindo	tamarindo	3
Santo Domingo	santo domingo	4
Ciudad Cariari	ciudad cariari	2
Valletta	valletta	4
Oranjestad	oranjestad	1
Soufriere	soufriere	1
La Fortuna	la fortuna	2
Jaco	jaco	3
Malé	malé	4
Hulhumalé	hulhumalé	3
Maafushi	maafushi	5
Ocho Rios	ocho rios	1
Cockburn Harbour	cockburn harbour	2
Savaneta	savaneta	1
Cockburn Town	cockburn town	2
Smith's	smith 's	1
Boca Chica	boca chica	1
Escazu	escazu	1
Vieux Fort	vieux fort	1
Runaway Bay	runaway bay	1
Guraidhoo	guraidhoo	1
Singapore	singapore	17
Gros Islet	gros islet	4
San Jose	san jose	2
George Town	george town	3
St. Julian's	st. julian 's	4
Nassau	nassau	2
St. Paul's Bay	st. paul 's bay	5
Sosua	sosua	1
Sliema	sliema	5
Pembroke	pembroke	2
Providenciales	providenciales	1
Freeport	freeport	1
Southampton	southampton	1
Montego Bay	montego bay	2
Paget	paget	2
Negril	negril	3
Holetown	holetown	1
Tamarindo	tamarindo	3
Santo Domingo	santo domingo	4
Ciudad Cariari	ciudad cariari	2
Valletta	valletta	4
Oranjestad	oranjestad	1
Soufriere	soufriere	1
La Fortuna	la fortuna	2
Jaco	jaco	3
Malé	malé	4
Hulhumalé	hulhumalé	3
Maafushi	maafushi	5
Ocho Rios	ocho rios	1
Cockburn Harbour	cockburn harbour	2
Savaneta	savaneta	1
Cockburn Town	cockburn town	2
Smith's	smith 's	1
Boca Chica	boca chica	1
Escazu	escazu	1
Vieux Fort	vieux fort	1
Runaway Bay	runaway bay	1
Guraidhoo	guraidhoo	1
Singapore	singapore	17
Gros Islet	gros islet	4
San Jose	san jose	2
George Town	george town	3
St. Julian's	st. julian 's	4
Nassau	nassau	2
St. Paul's Bay	st. paul 's bay	5
Sosua	sosua	1
Sliema	sliema	5
Pembroke	pembroke	2
Providenciales	providenciales	1
Freeport	freeport	1
Southampton	southampton	1
Montego Bay	montego bay	2
Paget	paget	2
Negril	negril	3
Holetown	holetown	1
Tamarindo	tamarindo	3
Santo Domingo	santo domingo	4
Ciudad Cariari	ciudad cariari	2
Valletta	valletta	4
Oranjestad	oranjestad	1
Soufriere	soufriere	1
La Fortuna	la fortuna	2
Jaco	jaco	3
Malé	malé	4
Hulhumalé	hulhumalé	3
Maafushi	maafushi	5
Ocho Rios	ocho rios	1
Cockburn Harbour	cockburn harbour	2
Savaneta	savaneta	1
Cockburn Town	cockburn town	2
Smith's	smith 's	1
Boca Chica	boca chica	1
Escazu	escazu	1
Vieux Fort	vieux fort	1
Runaway Bay	runaway bay	1
Guraidhoo	guraidhoo	1
Singapore	singapore	17
Gros Islet	gros islet	4
San Jose	san jose	2
George Town	george town	3
St. Julian's	st. julian 's	4
Nassau	nassau	2
St. Paul's Bay	st. paul 's bay	5
Sosua	sosua	1
Sliema	sliema	5
Pembroke	pembroke	2
Providenciales	providenciales	1
Freeport	freeport	1
Southampton	southampton	1
Montego Bay	montego bay	2
Paget	paget	2
Negril	negril	3
Holetown	holetown	1
Tamarindo	tamarindo	3
Santo Domingo	santo domingo	4
Ciudad Cariari	ciudad cariari	2
Valletta	valletta	4
Oranjestad	oranjestad	1
Soufriere	soufriere	1
La Fortuna	la fortuna	2
Jaco	jaco	3
Malé	malé	4
Hulhumalé	hulhumalé	3
Maafushi	maafushi	5
Ocho Rios	ocho rios	1
Cockburn Harbour	cockburn harbour	2
Savaneta	savaneta	1
Cockburn Town	cockburn town	2
Smith's	smith 's	1
Boca Chica	boca chica	1
Escazu	escazu	1
Vieux Fort	vieux fort	1
Runaway Bay	runaway bay	1
Guraidhoo	guraidhoo	1
