4 cups	4 cups	1
1 dozen	1 dozen	1
3 quarts	3 quarts	1
1 9x5-inch loaf	1 9 x5-inch loaf	1
1 9-inch pie	1 9 inch pie	4
1 - 9x13 inch casserole	1 - 9 x13 inch casserole	1
8 Servings	8 servings	1
1 - 8x12 inch pan	1 - 8 x12 inch pan	1
4 individual souffles	4 individual souffles	1
1 -1 1/2 pound loaf	1 -1 1/2 pound loaf	1
6 cups	6 cups	1
1 9-inch round cake	1 9 inch round cake	1
8 scones	8 scones	1
1 dozen cupcakes	1 dozen cupcakes	1
1 - 9x13 inch pan	1 - 9 x13 inch pan	1
1 pie	1 pie	1
1 - 9 inch Bundt cake	1 - 9 inch bundt cake	1
1 - 9x13 inch cake	1 - 9 x13 inch cake	1
1 9-inch cheesecake	1 9 inch cheesecake	1
1 9-inch quiche	1 9 inch quiche	1
10 chicken wings	10 chicken wings	1
4 cups	4 cups	1
1 dozen	1 dozen	1
3 quarts	3 quarts	1
1 9x5-inch loaf	1 9 x5-inch loaf	1
1 9-inch pie	1 9 inch pie	4
1 - 9x13 inch casserole	1 - 9 x13 inch casserole	1
8 Servings	8 servings	1
1 - 8x12 inch pan	1 - 8 x12 inch pan	1
4 individual souffles	4 individual souffles	1
1 -1 1/2 pound loaf	1 -1 1/2 pound loaf	1
6 cups	6 cups	1
1 9-inch round cake	1 9 inch round cake	1
8 scones	8 scones	1
1 dozen cupcakes	1 dozen cupcakes	1
1 - 9x13 inch pan	1 - 9 x13 inch pan	1
1 pie	1 pie	1
1 - 9 inch Bundt cake	1 - 9 inch bundt cake	1
1 - 9x13 inch cake	1 - 9 x13 inch cake	1
1 9-inch cheesecake	1 9 inch cheesecake	1
1 9-inch quiche	1 9 inch quiche	1
10 chicken wings	10 chicken wings	1
