Delicious warm or cold. A staple for every vegan kitchen!	delicious warm or cold . a staple for every vegan kitchen !	1
Chunks of firm tofu are marinated with vegetables in a sauce made with sriracha, soy sauce, sesame oil, onion, and jalapeno.	chunks of firm tofu are marinated with vegetables in a sauce made with sriracha , soy sauce , sesame oil , onion , and jalapeno .	1
Tofu scrambles up just like eggs, and with some clever spices, even non-vegans will barely notice the difference. Try setting out toppings to let family or guests assemble their own burrito bowls.	tofu scrambles up just like eggs , and with some clever spices , even non-vegans will barely notice the difference . try setting out toppings to let family or guests assemble their own burrito bowls .	1
Breaded tofu a la parmigiana. You'll just about swear this is eggplant or veal! One of my husband's favorites, and he doesn't even suspect!  Serve with a simple crisp green salad, angel hair pasta and garlic bread.	breaded tofu a la parmigiana . you 'll just about swear this is eggplant or veal ! one of my husband 's favorites , and he does n't even suspect ! serve with a simple crisp green salad , angel hair pasta and garlic bread .	1
Great sandwich when you're short on time and hungry!!	great sandwich when you 're short on time and hungry !!	1
This quick and easy Japanese fried tofu recipe is a great appetizer. Crispy fried cubes of tofu are served with a tasty sauce and chopped green onion.	this quick and easy japanese fried tofu recipe is a great appetizer . crispy fried cubes of tofu are served with a tasty sauce and chopped green onion .	1
A vegan alternative especially good for Thanksgiving dinner! Serve with a vegetarian gravy and all the fixings. Enjoy!	a vegan alternative especially good for thanksgiving dinner ! serve with a vegetarian gravy and all the fixings . enjoy !	1
This tofu recipe is completely gorgeous. A former roommate introduced me to some basics with tofu, and over the past few years, I've settled on this ratio of spices and other breading ingredients. The crust on the tofu sticks is tasty and the texture is really wonderful. Serve with a relish or a dip of some sort (I love this with plain yogurt mixed with eggplant brinjal). I usually make this with a cumin-scented rice dish and a garlicky broccoli side.	this tofu recipe is completely gorgeous . a former roommate introduced me to some basics with tofu , and over the past few years , i 've settled on this ratio of spices and other breading ingredients . the crust on the tofu sticks is tasty and the texture is really wonderful . serve with a relish or a dip of some sort -lrb- i love this with plain yogurt mixed with eggplant brinjal -rrb- . i usually make this with a cumin-scented rice dish and a garlicky broccoli side .	1
A great way to eat tofu -- without even knowing it!  Very refreshing, especially for breakfast or as a snack.  Tinker with it until you find the perfect combo for you.	a great way to eat tofu -- without even knowing it ! very refreshing , especially for breakfast or as a snack . tinker with it until you find the perfect combo for you .	1
A vegan alternative to ricotta for lasagna.	a vegan alternative to ricotta for lasagna .	1
Good for people who aren't reluctant to try tofu.  After this lasagna you and your guests will love it!	good for people who are n't reluctant to try tofu . after this lasagna you and your guests will love it !	1
This is an easy vegetarian tofu vindaloo similar to the kind found in Indian restaurants. Serve with basmati rice.	this is an easy vegetarian tofu vindaloo similar to the kind found in indian restaurants . serve with basmati rice .	1
This is one of the really traditional easy dishes in Japan. My dad likes it so much. We often eat this dish with the rice, miso soup, grilled fish and Japanese pickles in the morning.	this is one of the really traditional easy dishes in japan . my dad likes it so much . we often eat this dish with the rice , miso soup , grilled fish and japanese pickles in the morning .	1
This salad has tofu, snow peas, ginger and garlic!	this salad has tofu , snow peas , ginger and garlic !	1
Tastes just like chicken noodle soup but with tofu.  I add raisins to this soup, just like grandma used to.	tastes just like chicken noodle soup but with tofu . i add raisins to this soup , just like grandma used to .	1
This is a great Chinese recipe. I love this dish - you can control the spice by varying the cayenne. I hope you like it as much as I do.	this is a great chinese recipe . i love this dish - you can control the spice by varying the cayenne . i hope you like it as much as i do .	1
No one will ever know that these giant pasta shells contain tofu...unless you tell!	no one will ever know that these giant pasta shells contain tofu ... unless you tell !	1
Cauliflower and tofu in a medium-hot masala sauce. Serve over basmati rice or with naan.	cauliflower and tofu in a medium-hot masala sauce . serve over basmati rice or with naan .	1
The first time I had a spicy, cold rice noodle salad, it wasn't the bold flavors that caught me by surprise, but the strange and addictive texture.	the first time i had a spicy , cold rice noodle salad , it was n't the bold flavors that caught me by surprise , but the strange and addictive texture .	1
This is an adaptation of yellow chicken curry from India. The aromas and flavors are a delight to the senses! It is best served with fresh Naan bread and Jasmine or Basmati rice.	this is an adaptation of yellow chicken curry from india . the aromas and flavors are a delight to the senses ! it is best served with fresh naan bread and jasmine or basmati rice .	1
Spicy jerk seasoning gives this curried coconut chicken a island twist that's not to be missed. Serve the chicken and sauce with a big bowl of steaming brown rice.	spicy jerk seasoning gives this curried coconut chicken a island twist that 's not to be missed . serve the chicken and sauce with a big bowl of steaming brown rice .	1
This soul-warming soup is deliciously simple -- just chicken and noodles. What makes it so good is the homemade roasted chicken stock.	this soul-warming soup is deliciously simple -- just chicken and noodles . what makes it so good is the homemade roasted chicken stock .	1
Everybody likes chicken and rice. Just about every major culture has some sort of version of this archetypal recipe (by the way, people from minor cultures please save your emails). This is pure down-to-the-bone comfort food.	everybody likes chicken and rice . just about every major culture has some sort of version of this archetypal recipe -lrb- by the way , people from minor cultures please save your emails -rrb- . this is pure down - to-the-bone comfort food .	1
I love lamb burgers and lamb meatballs, so it's no surprise that I love lamb-stuffed cabbage rolls, and I'm happy to report that these particular 'lambage rolls' were the best non-beef version yet!	i love lamb burgers and lamb meatballs , so it 's no surprise that i love lamb-stuffed cabbage rolls , and i 'm happy to report that these particular ` lambage rolls ' were the best non-beef version yet !	1
You'll need a large, heavy-duty roasting pan (or a couple of smaller ones) and a very hot oven for this delicious dish. The long oven time makes everything beautifully caramelized and the chicken fork tender.	you 'll need a large , heavy-duty roasting pan -lrb- or a couple of smaller ones -rrb- and a very hot oven for this delicious dish . the long oven time makes everything beautifully caramelized and the chicken fork tender .	1
