1 serving	1 serving	1
8 cabbage rolls	8 cabbage rolls	1
4 cups	4 cups	1
4 sandwiches	4 sandwiches	2
2 large chicken breasts	2 large chicken breasts	1
4 Servings	4 servings	1
1 9-inch pie	1 9 inch pie	1
2 loaves	2 loaves	1
4 pounds chicken wings	4 pounds chicken wings	1
1 pie	1 pie	2
4 hand pies	4 hand pies	1
8 Servings	8 servings	1
3 quarts	3 quarts	1
1 serving	1 serving	1
8 cabbage rolls	8 cabbage rolls	1
4 cups	4 cups	1
4 sandwiches	4 sandwiches	2
2 large chicken breasts	2 large chicken breasts	1
4 Servings	4 servings	1
1 9-inch pie	1 9 inch pie	1
2 loaves	2 loaves	1
4 pounds chicken wings	4 pounds chicken wings	1
1 pie	1 pie	2
4 hand pies	4 hand pies	1
8 Servings	8 servings	1
3 quarts	3 quarts	1
