So decadent yet so simple, you'll be saying 'flour who!?' when you let this sweet lava flow.	so decadent yet so simple , you 'll be saying ` flour who !? ' when you let this sweet lava flow .	1
Unbelievable chocolate decadence for a gluten-free recipe. Top with ice cream or whipped cream. Invite people over because... OMG!	unbelievable chocolate decadence for a gluten-free recipe . top with ice cream or whipped cream . invite people over because ... omg !	1
This cake won me First Prize at the county fair last year. It is very chocolaty.	this cake won me first prize at the county fair last year . it is very chocolaty .	1
Super spooky dark chocolate cake. Suitable for all your black magic get-togethers.	super spooky dark chocolate cake . suitable for all your black magic get-togethers .	1
I have made this recipe for years. My children always chose it for their birthday cake over any other, and it makes enough for a crowd. Moist and delicious. Very easy to make. Enjoy!	i have made this recipe for years . my children always chose it for their birthday cake over any other , and it makes enough for a crowd . moist and delicious . very easy to make . enjoy !	1
Fancy taste without all the work.  This cake is wonderful for a get together or just a special occasion at home.  Using a box cake mix as a base it's a real time saver!	fancy taste without all the work . this cake is wonderful for a get together or just a special occasion at home . using a box cake mix as a base it 's a real time saver !	1
A rich moist chocolate cake with a chocolate buttercream icing. This is the best cake in the world!	a rich moist chocolate cake with a chocolate buttercream icing . this is the best cake in the world !	1
This recipe features an icing made with cream cheese, cocoa, and cinnamon frosts this dark chocolate cake for an elegant dessert.	this recipe features an icing made with cream cheese , cocoa , and cinnamon frosts this dark chocolate cake for an elegant dessert .	1
This cake was popular during the depression, and does not have eggs in it.	this cake was popular during the depression , and does not have eggs in it .	1
This recipe is from a friend of my mother's. She used it for catering and has won the hearts of most who've tasted it. I've had to share this recipe with everyone who's been to one of my parties. Serve with whipped cream if desired.	this recipe is from a friend of my mother 's . she used it for catering and has won the hearts of most who 've tasted it . i 've had to share this recipe with everyone who 's been to one of my parties . serv e with whipped cream if desired .	1
This is a moist fudgy type cake. Sweet but not extremely sweet and makes good use of zucchini! You can frost it with chocolate frosting or cream cheese icing.	this is a moist fudgy type cake . sweet but not extremely sweet and makes good use of zucchini ! you can frost it with chocolate frosting or cream cheese icing .	1
This makes an excellent cheesecake, similar to one you would get in a restaurant. Great for special occasions! Garnish with white chocolate curls if desired.	this makes an excellent cheesecake , similar to one you would get in a restaurant . great for special occasions ! garnish with white chocolate curls if desired .	1
A spectacular German Chocolate cake made from scratch, using cake flour.	a spectacular german chocolate cake made from scratch , using cake flour .	1
Chocolate, chocolate, chocolate. This cake is so moist and rich there's absolutely no need for frosting. This cake made me an instant star with my clients. I quickly became known as 'that incredible chocolate cake lady!'	chocolate , chocolate , chocolate . this cake is so moist and rich there 's absolutely no need for frosting . this cake made me an instant star with my clients . i quickly became known as ` that incredible c hocolate cake lady ! '	1
This is a rich and moist chocolate cake. It only takes a few minutes to prepare the batter. Frost with your favorite chocolate frosting.	this is a rich and moist chocolate cake . it only takes a few minutes to prepare the batter . frost with your favorite chocolate frosting .	1
A very good high-protein alternative to flourless chocolate cake. Give it a try!	a very good high-protein alternative to flourless chocolate cake . give it a try !	1
These cupcakes are made from scratch with a stout beer, then filled with an Irish whiskey-chocolate filling and topped off with some Irish cream icing. These are perfect for St. Patrick's Day.	these cupcakes are made from scratch with a stout beer , then filled with an irish whiskey-chocolate filling and topped off with some irish cream icing . these are perfect for st. patrick 's day .	1
