Bantam Reissue	bantam reissue	1
First Edition	first edition	3
1st edition	1 st edition	2
US	us	1
3rd edition	3 rd edition	1
Penguin Classics	penguin classics	4
1st Edition	1 st edition	1
First Plume Printing (Oprah's Book Club)	first plume printing -lrb- oprah 's book club -rrb-	1
US / CAN Edition	us / can edition	1
First Vintage International Edition	first vintage international edition	2
Reprint Edition	reprint edition	1
NYRB Classics	nyrb classics	1
Large Print	large print	1
Biblioteca Breve	biblioteca breve	1
Clasicos de Bolsillo	clasicos de bolsillo	1
Colección MAXI | Serie Milan Kundera	colección maxi | serie milan kundera	1
First Perennial Classics Edition	first perennial classics edition	1
First	first	1
2º edición	2º edición	1
Oxford World's Classics	oxford world 's classics	4
Extraordinary Voyages, #6	extraordinary voyages , # 6	1
Penguin Popular Classics	penguin popular classics	1
Folio	folio	1
Classiques Larousse	classiques larousse	2
Folio classique	folio classique	1
Extraordinary Voyages #11	extraordinary voyages # 11	1
Editions de Fallois	editions de fallois	1
Petits Classiques Larousse	petits classiques larousse	2
Oxford World’s Classics	oxford world 's classics	1
Classique	classique	1
Blanche	blanche	1
Librio	librio	1
Le Livre de Poche	le livre de poche	2
Edition bilingue français/créole.	edition bilingue français / créole .	1
Folio Classique	folio classique	1
Classiques Français	classiques français	1
