Liu Cixin	liu cixin	1
Baoshu	baoshu	1
Ted Chiang	ted chiang	1
Adrian Tchaikovsky	adrian tchaikovsky	1
Cixin Liu	cixin liu	1
N.K. Jemisin	n.k. jemisin	1
Neal Stephenson	neal stephenson	1
Dan Simmons	dan simmons	1
Ken Liu	ken liu	1
Ann Leckie	ann leckie	1
James S.A. Corey	james s.a. corey	1
Peter Watts	peter watts	1
Isaac Asimov	isaac asimov	1
Blake Crouch	blake crouch	1
Arthur C. Clarke	arthur c. clarke	1
Jennifer Hillier	jennifer hillier	1
Veronica Roth	veronica roth	1
D.J. Palmer	d.j. palmer	1
Lisa Wingate	lisa wingate	1
Robert Kolker	robert kolker	1
Sue Monk Kidd	sue monk kidd	1
Grady Hendrix	grady hendrix	1
Elle Marr	elle marr	1
Julia Alvarez	julia alvarez	1
Afia Atakora	afia atakora	1
Lian Dolan	lian dolan	1
Tracy Wolff	tracy wolff	1
Darynda Jones	darynda jones	1
Ottessa Moshfegh	ottessa moshfegh	1
Sarah Hogle	sarah hogle	1
Frances Cha	frances cha	1
Zoraida Córdova	zoraida córdova	1
Tracy Buchanan	tracy buchanan	1
Abby Jimenez	abby jimenez	1
Chelsea Bieker	chelsea bieker	1
Angie Kim	angie kim	1
Megan Miranda	megan miranda	1
Jennifer Weiner	jennifer weiner	1
Anne Tyler	anne tyler	1
Cameron Lund	cameron lund	1
Janelle Brown	janelle brown	1
Priscilla Oliveras	priscilla oliveras	1
Anika Scott	anika scott	1
James Patterson	james patterson	1
Emily A. Duncan	emily a. duncan	1
Beth O'Leary	beth o'leary	1
Sara Sligar	sara sligar	1
Thomas Holgate	thomas holgate	1
Julia Phillips	julia phillips	1
Emily Wibberley	emily wibberley	1
John Grisham	john grisham	1
Megan Campisi	megan campisi	1
Emily Skrutskie	emily skrutskie	1
Kelly Rimmer	kelly rimmer	1
Marie Kondō	marie kondō	1
Beth Morrey	beth morrey	1
Liz Lawson	liz lawson	1
Stephanie Scott	stephanie scott	1
June Hur	june hur	1
Samira Ahmed	samira ahmed	1
Mark Lawrence	mark lawrence	1
Debbie Macomber	debbie macomber	1
Marisa Kanter	marisa kanter	1
Mary Pauline Lowry	mary pauline lowry	1
Nina Kenwood	nina kenwood	1
David Baldacci	david baldacci	1
Andie J. Christopher	andie j. christopher	1
Karen Harper	karen harper	1
Cristina Alger	cristina alger	1
Stephen King	stephen king	1
Monica Hesse	monica hesse	1
John Scalzi	john scalzi	1
Kate White	kate white	1
Jesmyn Ward	jesmyn ward	1
Robert Jackson Bennett	robert jackson bennett	1
Brooke Fossey	brooke fossey	1
Jennifer Dugan	jennifer dugan	1
Gill Hornby	gill hornby	1
Alison Hammer	alison hammer	1
Danielle Trussoni	danielle trussoni	1
Lori Nelson Spielman	lori nelson spielman	1
Deirdre Mask	deirdre mask	1
Elizabeth Lim	elizabeth lim	1
Abbie Greaves	abbie greaves	1
Ben Oliver	ben oliver	1
Ash Parsons	ash parsons	1
Suzanne Park	suzanne park	1
Ngozi Ukazu	ngozi ukazu	1
Tomasz Jedrowski	tomasz jedrowski	1
Leslie Rule	leslie rule	1
Karin Tanabe	karin tanabe	1
Sara Zarr	sara zarr	1
Charleigh Rose	charleigh rose	1
Mark O'Connell	mark o'connell	1
Mariam Khan	mariam khan	1
Sharina Harris	sharina harris	1
Heather Demetrios	heather demetrios	1
Lawrence Wright	lawrence wright	1
Cara Black	cara black	1
Sharon J. Bolton	sharon j. bolton	1
Candace Bushnell	candace bushnell	1
Emily Gould	emily gould	1
Alan Hlad	alan hlad	1
Mary Torjussen	mary torjussen	1
Caroline Stevermer	caroline stevermer	1
Julia Quinn	julia quinn	1
Brenda Novak	brenda novak	1
Kate Milliken	kate milliken	1
Camilla Bruce	camilla bruce	1
Gae Polisner	gae polisner	1
Kristy Woodson Harvey	kristy woodson harvey	1
April Genevieve Tucholke	april genevieve tucholke	1
Kelly Quindlen	kelly quindlen	1
Mindy Mejia	mindy mejia	1
Christina Dalcher	christina dalcher	1
Greg King	greg king	1
Viola Shipman	viola shipman	1
Alisha Rai	alisha rai	1
Phaedra Patrick	phaedra patrick	1
Madeline Hunter	madeline hunter	1
Martha Waters	martha waters	1
Adi Alsaid	adi alsaid	1
Stacey Halls	stacey halls	1
Jenna Bush Hager	jenna bush hager	1
Yara Zgheib	yara zgheib	1
Kahlil Gibran	kahlil gibran	1
Rocky Callen	rocky callen	1
B.B. Reid	b.b. reid	1
M.R. Carey	m.r. carey	1
Roshani Chokshi	roshani chokshi	1
Maria Scrivan	maria scrivan	1
Deb Caletti	deb caletti	1
Victoria Thompson	victoria thompson	1
Christina Henry	christina henry	1
Phuc Tran	phuc tran	1
David Parrish	david parrish	1
