1 pound tofu, sliced into 8 even pieces	1 pound tofu , sliced into 8 even pieces	1
2 tablespoons soy sauce	2 tablespoons soy sauce	2
2 tablespoons agave nectar	2 tablespoons agave nectar	1
1 tablespoon toasted sesame oil	1 tablespoon toasted sesame oil	1
1 teaspoon minced garlic	1 teaspoon minced garlic	3
1 teaspoon minced fresh ginger	1 teaspoon minced fresh ginger	1
1 tablespoon sesame seeds, or to taste	1 tablespoon sesame seeds , or to taste	2
1 (8 ounce) container extra firm tofu, drained and sliced into large chunks	1 -lrb- 8 ounce -rrb- container extra firm tofu , drained and sliced into large chunks	1
1 zucchini, cut into large chunks	1 zucchini , cut into large chunks	1
1 red bell pepper, cut into large chunks	1 red bell pepper , cut into large chunks	1
10 large mushrooms	10 large mushrooms	1
2 tablespoons sriracha chili garlic sauce	2 tablespoons sriracha chili garlic sauce	1
¼ cup soy sauce	1/4 cup soy sauce	1
2 tablespoons sesame oil	2 tablespoons sesame oil	2
¼ cup diced onion	1/4 cup diced onion	1
1 jalapeno pepper, diced	1 jalapeno pepper , diced	1
ground black pepper to taste	ground black pepper to taste	3
3 tablespoons olive oil, divided	3 tablespoons olive oil , divided	2
½ teaspoon salt	1/2 teaspoon salt	7
black pepper to taste	black pepper to taste	1
1 ½ teaspoons onion powder	1 1/2 teaspoons onion powder	1
1 ½ teaspoons garlic powder	1 1/2 teaspoons garlic powder	1
½ teaspoon ground turmeric	1/2 teaspoon ground turmeric	1
1 tablespoon fresh lemon juice	1 tablespoon fresh lemon juice	2
1 tablespoon olive oil	1 tablespoon olive oil	10
1 cup finely diced red onion	1 cup finely diced red onion	1
2 jalapeno peppers, seeded and chopped	2 jalapeno peppers , seeded and chopped	2
3 cloves garlic, minced	3 cloves garlic , minced	5
2 cups chopped tomatoes	2 cups chopped tomatoes	1
1 ½ teaspoons cumin	1 1/2 teaspoons cumin	1
¼ cup chopped fresh cilantro	1/4 cup chopped fresh cilantro	3
1 ½ cups cooked hash brown potatoes	1 1/2 cups cooked hash brown potatoes	1
1 avocado - peeled, pitted and sliced	1 avocado - peeled , pitted and sliced	1
1 teaspoon fresh lemon juice	1 teaspoon fresh lemon juice	1
1 teaspoon hot sauce, or to taste	1 teaspoon hot sauce , or to taste	1
½ cup seasoned bread crumbs	1/2 cup seasoned bread crumbs	1
5 tablespoons grated Parmesan cheese	5 tablespoons grated parmesan cheese	1
2 teaspoons dried oregano, divided	2 teaspoons dried oregano , divided	1
salt to taste	salt to taste	6
1 (12 ounce) package firm tofu	1 -lrb- 12 ounce -rrb- package firm tofu	1
2 tablespoons olive oil	2 tablespoons olive oil	12
1 (8 ounce) can tomato sauce	1 -lrb- 8 ounce -rrb- can tomato sauce	1
½ teaspoon dried basil	1/2 teaspoon dried basil	2
1 clove garlic, minced	1 clove garlic , minced	1
4 ounces shredded mozzarella cheese	4 ounces shredded mozzarella cheese	1
2 pita bread rounds	2 pita bread rounds	1
3 tablespoons mayonnaise	3 tablespoons mayonnaise	1
3 tablespoons tahini (sesame-seed paste)	3 tablespoons tahini -lrb- sesame-seed paste -rrb-	1
1 tomato, sliced	1 tomato , sliced	1
4 slices firm tofu	4 slices firm tofu	1
1 dash soy sauce	1 dash soy sauce	1
1 pinch salt	1 pinch salt	8
2 cups water	2 cups water	3
2 tablespoons light soy sauce	2 tablespoons light soy sauce	1
2 tablespoons mirin	2 tablespoons mirin	1
1 teaspoon dashi granules	1 teaspoon dashi granules	1
¼ cup all-purpose flour, or as needed	1/4 cup all-purpose flour , or as needed	1
vegetable oil for frying	vegetable oil for frying	1
2 green onions, chopped	2 green onions , chopped	1
1 red onion, finely diced	1 red onion , finely diced	1
1 ⅓ cups diced celery	1 1/3 cups diced celery	1
1 cup chopped mushrooms	1 cup chopped mushrooms	1
2 cloves garlic, minced	2 cloves garlic , minced	7
⅛ cup dried sage	⅛ cup dried sage	1
2 teaspoons dried thyme	2 teaspoons dried thyme	1
salt and pepper to taste	salt and pepper to taste	6
1 ½ teaspoons dried rosemary	1 1/2 teaspoons dried rosemary	1
