abode	abode	1
ads	ads	1
brunt 	brunt	1
deconz	deconz	1
fibaro	fibaro	1
garadget	garadget	1
genie aladdin	genie aladdin	1
aladdin	aladdin	1
gogogate2	gogogate2	1
homekit	homekit	1
homematic	homematic	1
homematicip	homematicip	1
ikea	ikea	1
insteon	insteon	1
isy994	isy994	1
knx	knx	1
lcn	lcn	1
lutron caseta	lutron caseta	1
lutron	lutron	1
caseta	caseta	1
mqtt	mqtt	1
myq	myq	1
mysensors	mysensors	1
raspberry pi	raspberry pi	1
rflink	rflink	1
rfxtrx	rfxtrx	1
scsgate	scsgate	1
slide	slide	1
smarthab	smarthab	1
smartthings	smartthings	1
soma	soma	1
somfy mylink	somfy mylink	1
somfy	somfy	1
supla	supla	1
tahoma	tahoma	1
telldus	telldus	1
tellstick	tellstick	1
template	template	1
tuya	tuya	1
velux	velux	1
vera	vera	1
wink	wink	1
xiaomi	xiaomi	1
z-wave	z-wave	1
z wave	z wave	1
kitchen	kitchen	1
bedroom	bedroom	1
ceiling	ceiling	1
wall	wall	1
bathroom	bathroom	1
lobby	lobby	1
living room	living room	1
livingroom	livingroom	1
restroom	restroom	1
toilet	toilet	1
dining room	dining room	1
diningroom	diningroom	1
corridor	corridor	1
drawing room	drawing room	1
garden	garden	1
yard	yard	1
study room	study room	1
garage	garage	1
apartment	apartment	1
porch	porch	1
loft	loft	1
stair	stair	1
staircase	staircase	1
stir well	stir well	1
entrance	entrance	1
sitting room	sitting room	1
meeting room	meeting room	1
office	office	1
master bedroom	master bedroom	1
quest bedroom	quest bedroom	1
children bedroom	children bedroom	1
dressing room	dressing room	1
storeroom	storeroom	1
store room	store room	1
basement	basement	1
undercroft	undercroft	1
master bathroom	master bathroom	1
wash room	wash room	1
aisle	aisle	1
gazebo	gazebo	1
playground	playground	1
lawn	lawn	1
lounge	lounge	1
bar	bar	1
street	street	1
basketball court	basketball court	1
balcony	balcony	1
gallery	gallery	1
veranda	veranda	1
terrace	terrace	1
