abode	abode	1
ads	ads	1
alarmdecoder	alarmdecoder	1
amcrest	amcrest	1
android	android	1
apcupsd	apcupsd	1
arest	arest	1
august	august	1
axis	axis	1
beaglebone black	beaglebone black	1
beaglebone	beaglebone	1
belkin wemo	belkin wemo	1
belkin	belkin	1
blink	blink	1
bloomsky	bloomsky	1
bmw	bmw	1
concord232	concord232	1
danfoss	danfoss	1
deconz	deconz	1
digital ocean	digital ocean	1
ecobee	ecobee	1
egardia	egardia	1
enocean	enocean	1
envisalink	envisalink	1
eq-3	eq-3	1
fibaro	fibaro	1
flic	flic	1
fritzbox	fritzbox	1
gc100	gc100	1
genius hub	genius hub	1
genius	genius	1
hikvision	hikvision	1
hive	hive	1
homekit	homekit	1
homematic	homematic	1
homematicip	homematicip	1
http	http	1
hunter hydrawise	hunter hydrawise	1
hydrawise	hydrawise	1
ihc	ihc	1
insteon	insteon	1
intergas incomfort	intergas incomfort	1
intergas	intergas	1
international space station	international space station	1
isy994	isy994	1
jandy iaqualink	jandy iaqualink	1
iaqualink	iaqualink	1
keba	keba	1
knx	knx	1
konnected	konnected	1
lcn	lcn	1
linode	linode	1
lupus	lupus	1
mcp23017	mcp23017	1
melnor raincloud	melnor raincloud	1
melnor	melnor	1
meteoalarm	meteoalarm	1
minut	minut	1
modbus	modbus	1
mqtt	mqtt	1
mysensors	mysensors	1
mystrom	mystrom	1
ness	ness	1
nest	nest	1
netatmo	netatmo	1
netgear	netgear	1
notion	notion	1
nx584	nx584	1
octoprint	octoprint	1
opentherm	opentherm	1
openuv	openuv	1
orange	orange	1
owlet	owlet	1
piface	piface	1
pilight	pilight	1
ping	ping	1
qwikswitch	qwikswitch	1
rachio	rachio	1
rainmachine	rainmachine	1
raspberry pi	raspberry pi	1
raspihats	raspihats	1
rflink	rflink	1
ring	ring	1
satel	satel	1
sense	sense	1
skybell	skybell	1
sleepiq	sleepiq	1
smartthings	smartthings	1
spc	spc	1
streamlabs	streamlabs	1
tahoma	tahoma	1
tcp	tcp	1
telldus	telldus	1
tesla	tesla	1
toon	toon	1
upcloud	upcloud	1
velbus	velbus	1
vera	vera	1
verisure	verisure	1
vultr	vultr	1
w800rf32	w800 rf32	1
wink	wink	1
wirelesstag	wirelesstag	1
xiaomi	xiaomi	1
z-wave	z-wave	1
zigbee	zigbee	1
zigbee home	zigbee home	1
zoneminder	zoneminder	1
kitchen	kitchen	1
bedroom	bedroom	1
ceiling	ceiling	1
wall	wall	1
bathroom	bathroom	1
lobby	lobby	1
living room	living room	1
livingroom	livingroom	1
restroom	restroom	1
toilet	toilet	1
dining room	dining room	1
diningroom	diningroom	1
corridor	corridor	1
drawing room	drawing room	1
garden	garden	1
yard	yard	1
study room	study room	1
garage	garage	1
apartment	apartment	1
porch	porch	1
loft	loft	1
stair	stair	1
staircase	staircase	1
stir well	stir well	1
entrance	entrance	1
sitting room	sitting room	1
meeting room	meeting room	1
office	office	1
master bedroom	master bedroom	1
quest bedroom	quest bedroom	1
children bedroom	children bedroom	1
dressing room	dressing room	1
storeroom	storeroom	1
store room	store room	1
basement	basement	1
undercroft	undercroft	1
master bathroom	master bathroom	1
wash room	wash room	1
aisle	aisle	1
gazebo	gazebo	1
playground	playground	1
lawn	lawn	1
lounge	lounge	1
bar	bar	1
street	street	1
basketball court	basketball court	1
balcony	balcony	1
gallery	gallery	1
veranda	veranda	1
terrace	terrace	1
