abode	abode	1
adguard	adguard	1
ads	ads	1
amcrest	amcrest	1
android	android	1
anel	anel	1
ankuoo	ankuoo	1
aqualogic	aqualogic	1
arduino	arduino	1
arest	arest	1
avm	avm	1
axis	axis	1
beaglebone	beaglebone	1
belkin wemo	belkin wemo	1
belkin	belkin	1
broadlink	broadlink	1
d-link	d-link	1
daikin	daikin	1
danfoss	danfoss	1
deconz	deconz	1
deluge	deluge	1
digital ocean	digital ocean	1
doorbird	doorbird	1
edimax	edimax	1
elk-m1	elk-m1	1
elv pca	elv pca	1
enocean	enocean	1
eufy	eufy	1
ezcontrol	ezcontrol	1
fibaro	fibaro	1
freebox	freebox	1
fritzbox	fritzbox	1
gc100	gc100	1
hikvision	hikvision	1
hive	hive	1
homekit	homekit	1
homematic	homematic	1
homematicip	homematicip	1
hook	hook	1
hunter	hunter	1
ihc	ihc	1
ikea	ikea	1
insteon	insteon	1
isy994	isy994	1
jandy	jandy	1
kankun	kankun	1
knx	knx	1
konnected	konnected	1
lcn	lcn	1
lightwave	lightwave	1
linode	linode	1
litejet	litejet	1
lupus	lupus	1
lutron	lutron	1
mcp23017	mcp23017	1
melnor	melnor	1
mfi	mfi	1
mochad	mochad	1
modbus	modbus	1
mopar	mopar	1
mqtt	mqtt	1
mysensors	mysensors	1
mystrom	mystrom	1
n26	n26	1
neato	neato	1
netio	netio	1
orvibo	orvibo	1
pencom	pencom	1
piface	piface	1
pilight	pilight	1
plum	plum	1
pulseaudio	pulseaudio	1
qwikswitch	qwikswitch	1
rachio	rachio	1
rain	rain	1
rainmachine	rainmachine	1
raspberry pi	raspberry pi	1
raspihats	raspihats	1
raspyrfm	raspyrfm	1
restful	restful	1
rflink	rflink	1
ring	ring	1
satel	satel	1
scsgate	scsgate	1
skybell	skybell	1
smappee	smappee	1
smartthings	smartthings	1
snmp	snmp	1
spider	spider	1
switchbot	switchbot	1
switcher	switcher	1
switchmate	switchmate	1
tahoma	tahoma	1
telldus	telldus	1
tellstick	tellstick	1
telnet	telnet	1
template	template	1
tesla	tesla	1
thinking	thinking	1
tp-link	tp-link	1
transmission	transmission	1
tuya	tuya	1
unifi	unifi	1
upcloud	upcloud	1
velbus	velbus	1
vera	vera	1
verisure	verisure	1
vesync	vesync	1
vultr	vultr	1
wake	wake	1
wink	wink	1
wirelesstag	wirelesstag	1
xiaomi	xiaomi	1
z-wave	z-wave	1
zigbee	zigbee	1
zoneminder	zoneminder	1
kitchen	kitchen	1
bedroom	bedroom	1
ceiling	ceiling	1
wall	wall	1
bathroom	bathroom	1
lobby	lobby	1
living room	living room	1
livingroom	livingroom	1
restroom	restroom	1
toilet	toilet	1
dining room	dining room	1
diningroom	diningroom	1
corridor	corridor	1
drawing room	drawing room	1
garden	garden	1
yard	yard	1
study room	study room	1
garage	garage	1
apartment	apartment	1
porch	porch	1
loft	loft	1
stair	stair	1
staircase	staircase	1
stir well	stir well	1
entrance	entrance	1
sitting room	sitting room	1
meeting room	meeting room	1
office	office	1
master bedroom	master bedroom	1
quest bedroom	quest bedroom	1
children bedroom	children bedroom	1
dressing room	dressing room	1
storeroom	storeroom	1
store room	store room	1
basement	basement	1
undercroft	undercroft	1
master bathroom	master bathroom	1
wash room	wash room	1
aisle	aisle	1
gazebo	gazebo	1
playground	playground	1
lawn	lawn	1
lounge	lounge	1
bar	bar	1
street	street	1
basketball court	basketball court	1
balcony	balcony	1
gallery	gallery	1
veranda	veranda	1
terrace	terrace	1
