 Affenpinscher	affenpinscher	1
 Afghan Hound	afghan hound	1
 Aidi	aidi	1
 Airedale Terrier	airedale terrier	1
 Akbash	akbash	1
 Akita	akita	1
 Alano Español	alano español	1
 Alapaha Blue Blood Bulldog	alapaha blue blood bulldog	1
 Alaskan husky	alaskan husky	1
 Alaskan Klee Kai	alaskan klee kai	1
 Alaskan Malamute	alaskan malamute	1
 Alopekis	alopekis	1
 Alpine Dachsbracke	alpine dachsbracke	1
 American Bulldog	american bulldog	1
 American Bully	american bully	1
 American Cocker Spaniel	american cocker spaniel	1
 American English Coonhound	american english coonhound	1
 American Eskimo Dog	american eskimo dog	1
 American Foxhound	american foxhound	1
 American Hairless Terrier	american hairless terrier	1
 American Pit Bull Terrier	american pit bull terrier	1
 American Staffordshire Terrier	american staffordshire terrier	1
 American Water Spaniel	american water spaniel	1
 Andalusian Hound	andalusian hound	1
 Anglo-Français de Petite Vénerie	anglo-français de petite vénerie	1
 Appenzeller Sennenhund	appenzeller sennenhund	1
 Ariegeois	ariegeois	1
 Armant	armant	1
 Armenian Gampr dog	armenian gampr dog	1
 Artois Hound	artois hound	1
 Australian Cattle Dog	australian cattle dog	1
 Australian Kelpie	australian kelpie	1
 Australian Shepherd	australian shepherd	1
 Australian Stumpy Tail Cattle Dog	australian stumpy tail cattle dog	1
 Australian Terrier	australian terrier	1
 Austrian Black and Tan Hound	austrian black and tan hound	1
 Austrian Pinscher	austrian pinscher	1
 Azawakh	azawakh	1
 Bakharwal dog	bakharwal dog	1
 Banjara Hound	banjara hound	1
 Barbado da Terceira	barbado da terceira	1
 Barbet	barbet	1
 Basenji	basenji	1
 Basque Shepherd Dog	basque shepherd dog	1
 Basset Artésien Normand	basset artésien normand	1
 Basset Bleu de Gascogne	basset bleu de gascogne	1
 Basset Fauve de Bretagne	basset fauve de bretagne	1
 Basset Hound	basset hound	1
 Bavarian Mountain Hound	bavarian mountain hound	1
 Beagle	beagle	1
 Beagle-Harrier	beagle-harrier	1
 Belgian Shepherd	belgian shepherd	1
 Bearded Collie	bearded collie	1
 Beauceron	beauceron	1
 Bedlington Terrier	bedlington terrier	1
 Bergamasco Shepherd	bergamasco shepherd	1
 Berger Picard	berger picard	1
 Bernese Mountain Dog	bernese mountain dog	1
 Bhotia	bhotia	1
 Bichon Frisé	bichon frisé	1
 Billy	billy	1
 Black and Tan Coonhound	black and tan coonhound	1
 Black Norwegian Elkhound	black norwegian elkhound	1
 Black Russian Terrier	black russian terrier	1
 Black Mouth Cur	black mouth cur	1
 Bloodhound	bloodhound	1
 Blue Lacy	blue lacy	1
 Blue Picardy Spaniel	blue picardy spaniel	1
 Bluetick Coonhound	bluetick coonhound	1
 Boerboel	boerboel	1
 Bohemian Shepherd	bohemian shepherd	1
 Bolognese	bolognese	1
 Border Collie	border collie	1
 Border Terrier	border terrier	1
 Borzoi	borzoi	1
 Bosnian Coarse-haired Hound	bosnian coarse-haired hound	1
 Boston Terrier	boston terrier	1
 Bouvier des Ardennes	bouvier des ardennes	1
 Bouvier des Flandres	bouvier des flandres	1
 Boxer	boxer	1
 Boykin Spaniel	boykin spaniel	1
 Bracco Italiano	bracco italiano	1
 Braque d'Auvergne	braque d 'auvergne	1
 Braque de l'Ariège	braque de l 'ariège	1
 Braque du Bourbonnais	braque du bourbonnais	1
 Braque Francais	braque francais	1
 Braque Saint-Germain	braque saint-germain	1
 Briard	briard	1
 Briquet Griffon Vendéen	briquet griffon vendéen	1
 Brittany	brittany	1
 Broholmer	broholmer	1
 Bruno Jura Hound	bruno jura hound	1
 Brussels Griffon	brussels griffon	1
 Bucovina Shepherd Dog	bucovina shepherd dog	1
 Bull Arab	bull arab	1
 Bull Terrier	bull terrier	1
 Bulldog	bulldog	1
 Bullmastiff	bullmastiff	1
 Bully Kutta	bully kutta	1
 Burgos Pointer	burgos pointer	1
 Cairn Terrier	cairn terrier	1
 Campeiro Bulldog	campeiro bulldog	1
 Canaan Dog	canaan dog	1
 Canadian Eskimo Dog	canadian eskimo dog	1
 Cane Corso	cane corso	1
 Cane di Oropa	cane di oropa	1
 Cane Paratore	cane paratore	1
 Cantabrian Water Dog	cantabrian water dog	1
 Can de Chira	can de chira	1
 Cão da Serra de Aires	cão da serra de aires	1
 Cão de Castro Laboreiro	cão de castro laboreiro	1
 Cão de Gado Transmontano	cão de gado transmontano	1
 Cão Fila de São Miguel	cão fila de são miguel	1
 Cardigan Welsh Corgi	cardigan welsh corgi	1
 Carea Castellano Manchego	carea castellano manchego	1
 Carea Leonés	carea leonés	1
 Carolina Dog	carolina dog	1
 Carpathian Shepherd Dog	carpathian shepherd dog	1
 Catahoula Leopard Dog	catahoula leopard dog	1
 Catalan Sheepdog	catalan sheepdog	1
 Caucasian Shepherd Dog	caucasian shepherd dog	1
 Cavalier King Charles Spaniel	cavalier king charles spaniel	1
 Central Asian Shepherd Dog	central asian shepherd dog	1
 Cesky Fousek	cesky fousek	1
 Cesky Terrier	cesky terrier	1
 Chesapeake Bay Retriever	chesapeake bay retriever	1
 Chien Français Blanc et Noir	chien français blanc et noir	1
 Chien Français Blanc et Orange	chien français blanc et orange	1
 Chien Français Tricolore	chien français tricolore	1
 Chihuahua	chihuahua	1
 Chilean Terrier	chilean terrier	1
 Chinese Chongqing Dog	chinese chongqing dog	1
 Chinese Crested Dog	chinese crested dog	1
 Chinook	chinook	1
 Chippiparai	chippiparai	1
 Chongqing dog	chongqing dog	1
 Chow Chow	chow chow	1
 Cimarrón Uruguayo	cimarrón uruguayo	1
 Cirneco dell'Etna	cirneco dell 'etna	1
 Clumber Spaniel	clumber spaniel	1
 Colombian fino hound	colombian fino hound	1
 Coton de Tulear	coton de tulear	1
 Cretan Hound	cretan hound	1
 Croatian Sheepdog	croatian sheepdog	1
 Curly-Coated Retriever	curly-coated retriever	1
 Cursinu	cursinu	1
 Czechoslovakian Wolfdog	czechoslovakian wolfdog	1
 Dachshund	dachshund	1
 Dalmatian	dalmatian	1
 Dandie Dinmont Terrier	dandie dinmont terrier	1
 Danish-Swedish Farmdog	danish-swedish farmdog	1
 Denmark Feist	denmark feist	1
 Dingo	dingo	1
 Doberman Pinscher	doberman pinscher	1
 Dogo Argentino	dogo argentino	1
 Dogo Guatemalteco	dogo guatemalteco	1
 Dogo Sardesco	dogo sardesco	1
 Dogue Brasileiro	dogue brasileiro	1
 Dogue de Bordeaux	dogue de bordeaux	1
 Drentse Patrijshond	drentse patrijshond	1
 Drever	drever	1
 Dunker	dunker	1
 Dutch Shepherd	dutch shepherd	1
 Dutch Smoushond	dutch smoushond	1
 East Siberian Laika	east siberian laika	1
 East European Shepherd	east european shepherd	1
 English Cocker Spaniel	english cocker spaniel	1
 English Foxhound	english foxhound	1
 English Mastiff	english mastiff	1
 English Setter	english setter	1
 English Shepherd	english shepherd	1
 English Springer Spaniel	english springer spaniel	1
 English Toy Terrier (Black & Tan)	english toy terrier ( black & tan )	1
 Entlebucher Mountain Dog	entlebucher mountain dog	1
 Estonian Hound	estonian hound	1
 Estrela Mountain Dog	estrela mountain dog	1
 Eurasier	eurasier	1
 Field Spaniel	field spaniel	1
 Fila Brasileiro	fila brasileiro	1
 Finnish Hound	finnish hound	1
 Finnish Lapphund	finnish lapphund	1
 Finnish Spitz	finnish spitz	1
 Flat-Coated Retriever	flat-coated retriever	1
 French Bulldog	french bulldog	1
 French Spaniel	french spaniel	1
 Galgo Español	galgo español	1
 Galician Shepherd Dog	galician shepherd dog	1
 Garafian Shepherd	garafian shepherd	1
 Gascon Saintongeois	gascon saintongeois	1
 Georgian Shepherd	georgian shepherd	1
 German Hound	german hound	1
 German Longhaired Pointer	german longhaired pointer	1
 German Pinscher	german pinscher	1
 German Roughhaired Pointer	german roughhaired pointer	1
 German Shepherd Dog	german shepherd dog	1
 German Shorthaired Pointer	german shorthaired pointer	1
 German Spaniel	german spaniel	1
 German Spitz	german spitz	1
 German Wirehaired Pointer	german wirehaired pointer	1
 Giant Schnauzer	giant schnauzer	1
 Glen of Imaal Terrier	glen of imaal terrier	1
 Golden Retriever	golden retriever	1
 Gończy Polski	gończy polski	1
 Gordon Setter	gordon setter	1
 Grand Anglo-Français Blanc et Noir	grand anglo-français blanc et noir	1
 Grand Anglo-Français Blanc et Orange	grand anglo-français blanc et orange	1
 Grand Anglo-Français Tricolore	grand anglo-français tricolore	1
 Grand Basset Griffon Vendéen	grand basset griffon vendéen	1
 Grand Bleu de Gascogne	grand bleu de gascogne	1
 Grand Griffon Vendéen	grand griffon vendéen	1
 Great Dane	great dane	1
 Greater Swiss Mountain Dog	greater swiss mountain dog	1
 Greek Harehound	greek harehound	1
 Greek Shepherd	greek shepherd	1
 Greenland Dog	greenland dog	1
 Greyhound	greyhound	1
