______________	______________	1
''	''	1
00/01 uk return	00/01 uk return	1
= 01 ; = 01 ; = 01 ; = 01 ; = 01 ; = 01 ; = 01 ; enron north america corp. . nymex hedge =	= 01 ; = 01 ; = 01 ; = 01 ; = 01 ; = 01 ; = 01 ; enron north america corp. . nymex hedge =	1
02/01 agave pricing	02/01 agave pricing	1
03/01 price discrepancies - altrade	03/01 price discrepancies - altrade	1
05/00 central synthetic storage	05/00 central synthetic storage	1
= 0911/30 and 12/3 dpr - update	= 0911/30 and 12/3 dpr - update	1
11/2000 new power company	11/2000 new power company	1
1/16/0 ` checkout	1/16/0 ` checkout	1
1/1 latest estimate	1/1 latest estimate	1
12/31 actuals	12/31 actuals	1
12/4 term	12/4 term	1
12/5 limit violations and notifications - comments	12/5 limit violations and notifications - comments	1
1/28 checkout-update	1/28 checkout-update	1
1/2 day seminar : the new texas electric market	1/2 day seminar : the new texas electric market	1
1 factor hjm for the propane project	1 factor hjm for the propane project	1
2/15 bloomberg checkout	2/15 bloomberg checkout	1
2/15 prebon checkout	2/15 prebon checkout	1
2/23 checkout	2/23 checkout	1
22 nd	22 nd	1
24 th iaee international conference	24 th iaee international conference	1
29 th floor	29 th floor	1
2 nd attempt - halloween invitation	2 nd attempt - halloween invitation	1
2 nd request - response needed this week please - risk mgmt .	2 nd request - response needed this week please - risk mgmt .	1
2 nd try ocr changed to 7/28	2 nd try ocr changed to 7/28	1
2 nd try ... px bid cap resolution resolution	2 nd try ... px bid cap resolution resolution	1
2 nd version of plan ...	2 nd version of plan ...	1
3/12 checkout	3/12 checkout	1
3/13 checkout	3/13 checkout	1
3/20 field update from ian , kevin , david h. , james	3/20 field update from ian , kevin , david h. , james	1
3/27 checkout	3/27 checkout	1
3/38 checkout	3/38 checkout	1
3/9 checkout	3/9 checkout	1
3 rd party storage procedures - initial draft	3 rd party storage procedures - initial draft	1
3-urgent - to avoid loss of information	3-urgent - to avoid loss of information	1
4/10 checkout co n't	4/10 checkout co n't	1
4/12 mgmt summary & hot list	4/12 mgmt summary & hot list	1
4/12 resco coordination mtg notes	4/12 resco coordination mtg notes	1
4/24 checkout	4/24 checkout	1
4/3 checkout co n't	4/3 checkout co n't	1
4/4 checkout	4/4 checkout	1
4/5 errors	4/5 errors	1
4/6 checkout	4/6 checkout	1
4 th current estimate	4 th current estimate	1
4-urgent - owa please print this now .	4-urgent - owa please print this now .	1
5/1 checkout	5/1 checkout	1
5/2000 purchase from vastar gas	5/2000 purchase from vastar gas	1
584180.01-need contact name	584180.01-need contact name	1
5/d rox index	5/d rox index	1
5-part leadership model	5-part leadership model	1
5 th scenario	5 th scenario	1
8/15 bu broadband notifications	8/15 bu broadband notifications	1
9/21	9/21	1
a.00-10-029	a.00-10-029	1
a.00-11-038 et al , a.99-09-053 : chrc et al response to	a.00-11-038 et al , a.99-09-053 : chrc et al response to	1
a.00-11-038 et al. -lrb- alj pulsifer ruling -rrb- - important !	a.00-11-038 et al. -lrb- alj pulsifer ruling -rrb- - important !	1
