job title	job title	1
superintendent of schools	superintendent of schools	1
chief , fire department	chief , fire department	1
dep chf of dept -lrb- fire dept -rrb-	dep chf of dept -lrb- fire dept -rrb-	1
assistant law librarian	assistant law librarian	1
law librarian	law librarian	1
bookbinder	bookbinder	1
chief of police	chief of police	1
assistant chief of police	assistant chief of police	1
member , board of supervisors	member , board of supervisors	1
mayoral staff ii	mayoral staff ii	1
mayoral staff iv	mayoral staff iv	1
mayoral staff v	mayoral staff v	1
mayoral staff vi	mayoral staff vi	1
mayoral staff vii	mayoral staff vii	1
mayoral staff ix	mayoral staff ix	1
mayoral staff x	mayoral staff x	1
mayoral staff xi	mayoral staff xi	1
mayoral staff xii	mayoral staff xii	1
mayoral staff xiii	mayoral staff xiii	1
mayoral staff xiv	mayoral staff xiv	1
mayoral staff xv	mayoral staff xv	1
mayoral staff xvi	mayoral staff xvi	1
mayoral staff xvii	mayoral staff xvii	1
manager i	manager i	1
manager ii	manager ii	1
manager iii	manager iii	1
manager iv	manager iv	1
manager v	manager v	1
manager vi	manager vi	1
manager vii	manager vii	1
manager viii	manager viii	1
dep dir i	dep dir i	1
dep dir ii	dep dir ii	1
dep dir iii	dep dir iii	1
dep dir iv	dep dir iv	1
dep dir v	dep dir v	1
dept head i	dept head i	1
dept head ii	dept head ii	1
dept head iii	dept head iii	1
dept head iv	dept head iv	1
dept head v	dept head v	1
is operator-journey	is operator-journey	1
is operator-senior	is operator-senior	1
is operator-analyst	is operator-analyst	1
is technician assistant	is technician assistant	1
is technical-journey	is technical-journey	1
is technician-senior	is technician-senior	1
is technician-supervisor	is technician-supervisor	1
is administrator 1	is administrator 1	1
is administrator-supervisor	is administrator-supervisor	1
is trainer-assistant	is trainer-assistant	1
is trainer-journey	is trainer-journey	1
is trainer-senior	is trainer-senior	1
is engineer-assistant	is engineer-assistant	1
is engineer-journey	is engineer-journey	1
is engineer-senior	is engineer-senior	1
is engineer-principal	is engineer-principal	1
is business analyst-assistant	is business analyst-assistant	1
is business analyst	is business analyst	1
is business analyst-senior	is business analyst-senior	1
is business analyst-principal	is business analyst-principal	1
is program analyst-assistant	is program analyst-assistant	1
is programmer analyst	is programmer analyst	1
is programmer analyst-senior	is programmer analyst-senior	1
is prg analyst-principal	is prg analyst-principal	1
is project director	is project director	1
is manager	is manager	1
dep dir for investments , ret	dep dir for investments , ret	1
youth comm advisor	youth comm advisor	1
ex asst to admin , sfgh	ex asst to admin , sfgh	1
adm , sfgh medical center	adm , sfgh medical center	1
mayor	mayor	1
personnel clerk	personnel clerk	1
personnel technician	personnel technician	1
senior personnel clerk	senior personnel clerk	1
benefits technician	benefits technician	1
benefits analyst	benefits analyst	1
payroll supervisor	payroll supervisor	1
payroll clerk	payroll clerk	1
sr payroll & personnel clerk	sr payroll & personnel clerk	1
pr payroll & personnel clerk	pr payroll & personnel clerk	1
chf payroll & personnel clerk	chf payroll & personnel clerk	1
testing technician	testing technician	1
assistant manager , eeo	assistant manager , eeo	1
training officer	training officer	1
eeo programs specialist	eeo programs specialist	1
training coordinator	training coordinator	1
personnel analyst	personnel analyst	1
senior personnel analyst	senior personnel analyst	1
principal personnel analyst	principal personnel analyst	1
employee relations representat	employee relations representat	1
senior emp relations repres	senior emp relations repres	1
manager , employee relations div	manager , employee relations div	1
dir emp relations div	dir emp relations div	1
human resources director	human resources director	1
public relations assistant	public relations assistant	1
public information officer	public information officer	1
public relations officer	public relations officer	1
customer service agent	customer service agent	1
customer service agent supv	customer service agent supv	1
special assistant 1	special assistant 1	1
junior clerk	junior clerk	1
elections clerk	elections clerk	1
clerk	clerk	1
senior clerk	senior clerk	1
principal clerk	principal clerk	1
chief clerk	chief clerk	1
junior clerk typist	junior clerk typist	1
clerk typist	clerk typist	1
senior clerk typist	senior clerk typist	1
unit clerk	unit clerk	1
nurses staffing assistant	nurses staffing assistant	1
transcriber typist	transcriber typist	1
senior unit clerk	senior unit clerk	1
senior transcriber typist	senior transcriber typist	1
shelter service representative	shelter service representative	1
shelter officer supervisor	shelter officer supervisor	1
braillist	braillist	1
shelter office asst supv	shelter office asst supv	1
medical transcriber typist	medical transcriber typist	1
sr medical transcriber typist	sr medical transcriber typist	1
secretary 1	secretary 1	1
executive secretary 1	executive secretary 1	1
legal secretary 1	legal secretary 1	1
meter reader	meter reader	1
water services clerk	water services clerk	1
elections worker	elections worker	1
claims process clerk	claims process clerk	1
senior water services clerk	senior water services clerk	1
principal water services clerk	principal water services clerk	1
asst clk , board of supervisors	asst clk , board of supervisors	1
cfdntal sctry & ex asst publdfdr	cfdntal sctry & ex asst publdfdr	1
confidential sctry to assessor	confidential sctry to assessor	1
cfdntal sctry to distric atty	cfdntal sctry to distric atty	1
cfdntal sctry to city atty	cfdntal sctry to city atty	1
secretary , comm on the environ	secretary , comm on the environ	1
secretary , library commission	secretary , library commission	1
sctry , human svcs . commission	sctry , human svcs . commission	1
sctry , juv probation comm	sctry , juv probation comm	1
secretary , health commission	secretary , health commission	1
sctry , bldg inspection comm	sctry , bldg inspection comm	1
ex asst to the controller	ex asst to the controller	1
account clerk	account clerk	1
senior account clerk	senior account clerk	1
principal account clerk	principal account clerk	1
health care billing clerk 1	health care billing clerk 1	1
patient accounts clerk	patient accounts clerk	1
accountant intern	accountant intern	1
accountant i	accountant i	1
accountant ii	accountant ii	1
accountant iii	accountant iii	1
accountant iv	accountant iv	1
patient accounts asst sprv	patient accounts asst sprv	1
patient accounts supervisor	patient accounts supervisor	1
patient accounts manager	patient accounts manager	1
financial systems supervisor	financial systems supervisor	1
auditor ii	auditor ii	1
auditor iii	auditor iii	1
communications dispatcher 1	communications dispatcher 1	1
telephone operator	telephone operator	1
senior telephone operator	senior telephone operator	1
senior data entry operator	senior data entry operator	1
microphoto/imaging technician	microphoto/imaging technician	1
sr. . microphoto/imaging tech .	sr. . microphoto/imaging tech .	1
offset machine operator	offset machine operator	1
senior offset machine operator	senior offset machine operator	1
mail & reproduction svc sprv	mail & reproduction svc sprv	1
media production tech	media production tech	1
media programming spec	media programming spec	1
media production supv	media production supv	1
photographer	photographer	1
media production specialist	media production specialist	1
media training specialist	media training specialist	1
head photographer	head photographer	1
media/security sys spec	media/security sys spec	1
media/security syst supv	media/security syst supv	1
research assistant	research assistant	1
performance analyst i	performance analyst i	1
statistician	statistician	1
performance analyst ii	performance analyst ii	1
senior statistician	senior statistician	1
assistant retirement analyst	assistant retirement analyst	1
senior benefits analyst	senior benefits analyst	1
benefits supervisor	benefits supervisor	1
junior administrative analyst	junior administrative analyst	1
administrative analyst	administrative analyst	1
senior administrative analyst	senior administrative analyst	1
pr administrative analyst	pr administrative analyst	1
prnpl admin analyst ii	prnpl admin analyst ii	1
administrative services mgr	administrative services mgr	1
legislative assistant	legislative assistant	1
water conservation admin	water conservation admin	1
junior management assistant	junior management assistant	1
management assistant	management assistant	1
ex dir , se com fac comm	ex dir , se com fac comm	1
senior management assistant	senior management assistant	1
prog mgr , bus & econ develop	prog mgr , bus & econ develop	1
auditor i	auditor i	1
inventory clerk	inventory clerk	1
senior inventory clerk	senior inventory clerk	1
