tomorrow	tomorrow	1
tonight	tonight	1
be right back	be right back	1
by the way	by the way	1
bring the wheelchair	bring the wheelchair	1
bye for now	bye for now	1
be seeing you	be seeing you	1
best friends forever	best friends forever	1
best friend 's funeral	best friend 's funeral	1
cover your ass	cover your ass	1
see ya	see ya	1
do n't care	do n't care	1
do n't believe everything you read	do n't believe everything you read	1
do i look like i give a sh **	do i look like i give a sh **	1
fear , uncertainty , and disinformation	fear , uncertainty , and disinformation	1
for what it 's worth	for what it 's worth	1
forgot where i was	forgot where i was	1
great	great	1
good to go	good to go	1
g2 g got to go	g2 g got to go	1
i love you	i love you	1
in my humble opinion	in my humble opinion	1
in real life	in real life	1
in search of	in search of	1
just kidding	just kidding	1
ok	ok	1
is that ok ?	is that ok ?	1
later	later	1
laughing my ass off	laughing my ass off	1
laughing out loud	laughing out loud	1
lots of love	lots of love	1
living on lipitor	living on lipitor	1
love you like a sister	love you like a sister	1
my hat 's off to you	my hat 's off to you	1
not in my back yard	not in my back yard	1
no problem	no problem	1
nosy parents	nosy parents	1
new person to a site or game	new person to a site or game	1
oh , i see	oh , i see	1
oh my god !	oh my god !	1
off topic	off topic	1
point of view	point of view	1
proper respect and acknowledgement	proper respect and acknowledgement	1
read between the lines	read between the lines	1
rolling on the floor laughing my ass off	rolling on the floor laughing my ass off	1
real time	real time	1
retweet	retweet	1
retweet	retweet	1
thx	thx	1
tx	tx	1
thks -- thanks	thks -- thanks	1
sh ** happens	sh ** happens	1
still in the dark	still in the dark	1
sh ** out of luck	sh ** out of luck	1
sooner	sooner	1
later	later	1
sucks to be you	sucks to be you	1
sealed -lrb- or sent -rrb- with a kiss	sealed -lrb- or sent -rrb- with a kiss	1
thread from hell	thread from hell	1
rtm	rtm	1
rtfm -- read the manual	rtfm -- read the manual	1
read the f *** ing manual	read the f *** ing manual	1
tender loving care	tender loving care	1
too much information	too much information	1
talk to you later	talk to you later	1
type to you later	type to you later	1
thank you very much	thank you very much	1
very big grin	very big grin	1
wicked evil grin	wicked evil grin	1
what the f ***	what the f ***	1
wish you were here	wish you were here	1
hugs and kisses	hugs and kisses	1
