der vagabund und das kind	der vagabund und das kind	1
goldrausch	goldrausch	1
metropolis	metropolis	1
der general	der general	1
lichter der großstadt	lichter der großstadt	1
m	m	1
es geschah in einer nacht	es geschah in einer nacht	1
moderne zeiten	moderne zeiten	1
vom winde verweht	vom winde verweht	1
der zauberer von oz	der zauberer von oz	1
früchte des zorns	früchte des zorns	1
der große diktator	der große diktator	1
rebecca	rebecca	1
citizen kane	citizen kane	1
die spur des falken	die spur des falken	1
casablanca	casablanca	1
frau ohne gewissen	frau ohne gewissen	1
die besten jahre unseres lebens	die besten jahre unseres lebens	1
tote schlafen fest	tote schlafen fest	1
it 's a wonderful life	it 's a wonderful life	1
berüchtigt	berüchtigt	1
fahrraddiebe	fahrraddiebe	1
cocktail für eine leiche	cocktail für eine leiche	1
der schatz der sierra madre	der schatz der sierra madre	1
der dritte mann	der dritte mann	1
alles über eva	alles über eva	1
rashomon	rashomon	1
boulevard der dämmerung	boulevard der dämmerung	1
der fremde im zug	der fremde im zug	1
zwölf uhr mittags	zwölf uhr mittags	1
ikiru - einmal richtig leben	ikiru - einmal richtig leben	1
du sollst mein glücksstern sein	du sollst mein glücksstern sein	1
ein herz und eine krone	ein herz und eine krone	1
die teuflischen	die teuflischen	1
bei anruf mord	bei anruf mord	1
die faust im nacken	die faust im nacken	1
das fenster zum hof	das fenster zum hof	1
die sieben samurai	die sieben samurai	1
das lied der straße	das lied der straße	1
die nacht des jägers	die nacht des jägers	1
killing	killing	1
die zwölf geschworenen	die zwölf geschworenen	1
die brücke am kwai	die brücke am kwai	1
wege zum ruhm	wege zum ruhm	1
das siebente siegel	das siebente siegel	1
wilde erdbeeren	wilde erdbeeren	1
zeugin der anklage	zeugin der anklage	1
im zeichen des bösen	im zeichen des bösen	1
vertigo - aus dem reich der toten	vertigo - aus dem reich der toten	1
ben hur	ben hur	1
der unsichtbare dritte	der unsichtbare dritte	1
sie küßten und sie schlugen ihn	sie küßten und sie schlugen ihn	1
manche mögen 's heiß	manche mögen 's heiß	1
das appartement	das appartement	1
das süße leben	das süße leben	1
psycho	psycho	1
haie der großstadt	haie der großstadt	1
das urteil von nürnberg	das urteil von nürnberg	1
die leibwache	die leibwache	1
lawrence von arabien	lawrence von arabien	1
wer die nachtigall stört	wer die nachtigall stört	1
achteinhalb	achteinhalb	1
dr. seltsam \	dr. seltsam \	1
gesprengte ketten	gesprengte ketten	1
für eine handvoll dollar	für eine handvoll dollar	1
schlacht um algier	schlacht um algier	1
für ein paar dollar mehr	für ein paar dollar mehr	1
zwei glorreiche halunken	zwei glorreiche halunken	1
persona	persona	1
wer hat angst vor virginia woolf ?	wer hat angst vor virginia woolf ?	1
der unbeugsame	der unbeugsame	1
die reifeprüfung	die reifeprüfung	1
butch cassidy und sundance kid	butch cassidy und sundance kid	1
spiel mir das lied vom tod	spiel mir das lied vom tod	1
uhrwerk orange	uhrwerk orange	1
der pate	der pate	1
der clou	der clou	1
die ritter der kokosnuß	die ritter der kokosnuß	1
barry lyndon	barry lyndon	1
hundstage	hundstage	1
der weiße hai	der weiße hai	1
einer flog über das kuckucksnest	einer flog über das kuckucksnest	1
network	network	1
rocky	rocky	1
taxi driver	taxi driver	1
der stadtneurotiker	der stadtneurotiker	1
krieg der sterne	krieg der sterne	1
die durch die hölle gehen	die durch die hölle gehen	1
