santana	santana	1
bobby darin	bobby darin	1
debby boone	debby boone	1
black eyed peas 	black eyed peas	1
beatles 	beatles	1
leann rimes	leann rimes	1
jason mraz	jason mraz	1
usher	usher	1
olivia newton-john	olivia newton-john	1
next	next	1
mariah carey	mariah carey	1
percy faith	percy faith	1
lmfao	lmfao	1
b.j. thomas	b.j. thomas	1
bobby lewis	bobby lewis	1
boyz ii men	boyz ii men	1
kim carnes	kim carnes	1
dawn	dawn	1
boyz ii men	boyz ii men	1
beatles 	beatles	1
nickelback	nickelback	1
toni braxton	toni braxton	1
andy gibb	andy gibb	1
savage garden	savage garden	1
carrie underwood	carrie underwood	1
police 	police	1
lady antebellum	lady antebellum	1
diana ross	diana ross	1
monkees 	monkees	1
johnny horton	johnny horton	1
archies 	archies	1
bee gees	bee gees	1
young m.c.	young m.c.	1
lifehouse	lifehouse	1
adele	adele	1
roberta flack	roberta flack	1
elton john	elton john	1
flo rida	flo rida	1
blondie	blondie	1
elvis presley	elvis presley	1
bruno mars	bruno mars	1
los del rio	los del rio	1
dionne & friends	dionne & friends	1
andy gibb	andy gibb	1
ace of base	ace of base	1
tag team	tag team	1
lonestar	lonestar	1
survivor	survivor	1
irene cara	irene cara	1
mariah carey	mariah carey	1
5 th dimension 	5 th dimension	1
louis armstrong	louis armstrong	1
kanye west	kanye west	1
chubby checker	chubby checker	1
rod stewart	rod stewart	1
coldplay	coldplay	1
kris kristofferson	kris kristofferson	1
captain and tennille 	captain and tennille	1
gilbert o'sullivan	gilbert o'sullivan	1
faith hill	faith hill	1
paul mauriat and his orchestra	paul mauriat and his orchestra	1
rolling stones 	rolling stones	1
tina turner	tina turner	1
ray charles	ray charles	1
bee gees	bee gees	1
brenda lee	brenda lee	1
patti labelle	patti labelle	1
paula abdul	paula abdul	1
queen	queen	1
bangles	bangles	1
whitney houston	whitney houston	1
marvin gaye	marvin gaye	1
chic	chic	1
mary j. blige	mary j. blige	1
lifehouse	lifehouse	1
cheap trick	cheap trick	1
mariah carey	mariah carey	1
fergie	fergie	1
elvis presley	elvis presley	1
fray 	fray	1
heart	heart	1
michael jackson	michael jackson	1
