smooth	smooth	1
mack the knife	mack the knife	1
you light up my life	you light up my life	1
i got ta feeling	i got ta feeling	1
hey jude	hey jude	1
how do i live	how do i live	1
i 'm yours	i 'm yours	1
yeah !	yeah !	1
physical	physical	1
too close	too close	1
we belong together	we belong together	1
party rock anthem	party rock anthem	1
raindrops keep fallin ' on my head	raindrops keep fallin ' on my head	1
tossin ' and turnin '	tossin ' and turnin '	1
i 'll make love to you	i 'll make love to you	1
bette davis eyes	bette davis eyes	1
tie a yellow ribbon round the ole oak tree	tie a yellow ribbon round the ole oak tree	1
end of the road	end of the road	1
i want to hold your hand	i want to hold your hand	1
how you remind me	how you remind me	1
un-break my heart	un-break my heart	1
i just want to be your everything	i just want to be your everything	1
truly madly deeply	truly madly deeply	1
before he cheats	before he cheats	1
every breath you take	every breath you take	1
need you now	need you now	1
endless love	endless love	1
i 'm a believer	i 'm a believer	1
sugar sugar	sugar sugar	1
how deep is your love	how deep is your love	1
bust a move	bust a move	1
hanging by a moment	hanging by a moment	1
rolling in the deep	rolling in the deep	1
the first time ever i saw your face	the first time ever i saw your face	1
low	low	1
call me	call me	1
it 's now or never	it 's now or never	1
just the way you are	just the way you are	1
macarena bayside boys mix	macarena bayside boys mix	1
unwell	unwell	1
that 's what friends are for	that 's what friends are for	1
shadow dancing	shadow dancing	1
the sign	the sign	1
joy to the world	joy to the world	1
whoomp ! there it is	whoomp ! there it is	1
amazed	amazed	1
eye of the tiger	eye of the tiger	1
flashdance ... what a feeling	flashdance ... what a feeling	1
one sweet day	one sweet day	1
aquarius/let the sunshine in the flesh failures	aquarius/let the sunshine in the flesh failures	1
hello dolly !	hello dolly !	1
gold digger	gold digger	1
the twist	the twist	1
tonight 's the night gon na be alright	tonight 's the night gon na be alright	1
viva la vida	viva la vida	1
why me	why me	1
love will keep us together	love will keep us together	1
alone again naturally	alone again naturally	1
breathe	breathe	1
love is blue l'amour est bleu	love is blue l'amour est bleu	1
i ca n't get no satisfaction	i ca n't get no satisfaction	1
what 's love got to do with it	what 's love got to do with it	1
i ca n't stop loving you	i ca n't stop loving you	1
night fever	night fever	1
tik tok	tik tok	1
i 'm sorry	i 'm sorry	1
on my own	on my own	1
straight up	straight up	1
kryptonite	kryptonite	1
another one bites the dust	another one bites the dust	1
walk like an egyptian	walk like an egyptian	1
big girls do n't cry	big girls do n't cry	1
i will always love you	i will always love you	1
i heard it through the grapevine	i heard it through the grapevine	1
le freak	le freak	1
family affair	family affair	1
i 'll be there	i 'll be there	1
you and me	you and me	1
the flame	the flame	1
love takes time	love takes time	1
big girls do n't cry	big girls do n't cry	1
are you lonesome to-night ?	are you lonesome to-night ?	1
how to save a life	how to save a life	1
here without you	here without you	1
alone	alone	1
billie jean	billie jean	1
the ballad of the green berets	the ballad of the green berets	1
